type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,40.579531847,-98.348307088,579.9,-0.3,2.438,14.02,,
T,40.579555783,-98.348167816,579.8,-0.7,2.450,12.09,,
T,40.579555764,-98.347716742,579.8,-0.0,2.488,38.19,,
T,40.579515151,-98.347524408,579.9,0.3,2.505,16.90,,
T,40.579462431,-98.347469118,579.8,-0.5,2.512,7.50,,
T,40.579415028,-98.347389514,579.8,0.0,2.521,8.55,,
T,40.579347652,-98.347339173,579.8,-0.8,2.530,8.61,,
T,40.579265711,-98.347328996,579.7,-0.4,2.539,9.14,,
T,40.579140517,-98.347329428,579.8,0.2,2.553,13.90,,
T,40.577750204,-98.347709320,579.8,0.1,2.710,157.70,,
T,40.577622737,-98.347752138,579.8,0.0,2.725,14.61,,
T,40.577559558,-98.347785138,579.8,-0.2,2.732,7.55,,
T,40.577493661,-98.347850904,579.9,0.4,2.742,9.20,,
T,40.577420946,-98.347935547,580.0,1.0,2.752,10.80,,
T,40.577356884,-98.348027166,579.9,-0.3,2.763,10.53,,
T,40.577278985,-98.348128268,579.7,-1.7,2.775,12.17,,
T,40.577246106,-98.348241492,579.7,-0.2,2.785,10.26,,
T,40.577209669,-98.348345186,579.8,0.6,2.795,9.67,,
T,40.577187977,-98.348460505,579.9,1.0,2.805,10.06,,
T,40.577014657,-98.349956755,580.4,0.4,2.933,128.14,,
T,40.577014601,-98.350063298,580.4,0.4,2.942,9.02,,
T,40.577028261,-98.350229393,580.5,0.4,2.956,14.14,,
T,40.577045453,-98.350325273,580.5,0.4,2.965,8.34,,
T,40.577076669,-98.350468533,580.6,0.4,2.977,12.62,,
T,40.577111741,-98.350609164,580.5,-0.4,2.990,12.53,,
T,40.577160788,-98.350700306,580.5,0.0,2.999,9.45,,
T,40.577203841,-98.350790630,580.5,0.1,3.008,9.02,,
T,40.577254763,-98.350895030,580.6,0.6,3.019,10.49,,
T,40.577317324,-98.351001064,580.7,0.9,3.030,11.35,,
T,40.577820369,-98.351632487,580.9,0.2,3.108,77.32,,
T,40.577870732,-98.351700766,580.9,-0.0,3.116,8.04,,
T,40.577903806,-98.351789895,580.8,-0.6,3.124,8.39,,
T,40.577923203,-98.351897236,580.7,-1.1,3.133,9.34,,
T,40.577943181,-98.352005329,580.6,-1.0,3.143,9.42,,
T,40.577943233,-98.352117024,580.5,-0.6,3.152,9.46,,
T,40.577931391,-98.352197812,580.6,0.6,3.159,6.97,,
T,40.577914474,-98.352328091,580.7,0.8,3.170,11.19,,
T,40.577878953,-98.352403978,580.7,0.0,3.178,7.54,,
T,40.577846023,-98.352490002,580.7,-0.1,3.186,8.15,,
