type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),color,width,opacity,name,desc
T,41.309046761,-95.910429813,298.8,0.1,6.368,302.12,,,,,
T,41.309890026,-95.911667708,298.8,0.0,6.508,139.70,,,,,
T,41.310356244,-95.912830146,298.8,0.0,6.618,110.26,,,,,
T,41.310714401,-95.914094097,298.8,0.0,6.731,113.07,,,,,
T,41.311015634,-95.915788092,298.8,0.0,6.877,145.74,,,,,
T,41.310949667,-95.918715153,298.8,0.0,7.122,245.22,,,,,
T,41.311173754,-95.924866836,298.8,0.0,7.638,515.73,,,,,
T,41.311238217,-95.928241601,298.8,0.0,7.920,282.69,,,,,
T,41.311376181,-95.930997966,299.1,0.1,8.152,231.32,,,,,
T,41.311578833,-95.933185095,300.3,0.6,8.336,184.52,,,,,
T,41.311430442,-95.937010146,301.3,0.3,8.657,320.73,,,,,
T,41.311257969,-95.938643574,301.2,-0.1,8.795,138.11,,,,,
T,41.310962072,-95.940384046,301.9,0.5,8.945,149.40,,,,,
T,41.310535430,-95.941426813,301.9,0.0,9.044,99.35,,,,,
T,41.309815657,-95.942209332,301.9,0.0,9.147,103.36,,,,,
T,41.308905499,-95.942725014,302.7,0.7,9.257,109.92,,,,,
T,41.307906387,-95.943102930,305.6,2.6,9.373,115.39,,,,,
T,41.307304427,-95.943650829,311.9,7.8,9.454,81.08,,,,,
T,41.306529854,-95.944293172,310.7,-1.2,9.555,101.46,,,,,
T,41.305898238,-95.945351354,312.9,2.0,9.668,113.02,,,,,
T,41.305217286,-95.946421147,312.8,-0.1,9.785,117.24,,,,,
T,41.304268408,-95.949013569,316.4,1.5,10.027,241.33,,,,,
T,41.304067271,-95.949702230,316.9,0.9,10.089,61.85,,,,,
T,41.303828357,-95.950411673,318.2,2.1,10.154,65.07,,,,,
T,41.303585542,-95.951505192,319.8,1.6,10.249,95.47,,,,,
T,41.303272029,-95.952492912,319.3,-0.6,10.339,89.75,,,,,
T,41.303052157,-95.953200238,319.3,0.0,10.403,64.07,,,,,
T,41.303014354,-95.953846630,319.6,0.6,10.457,54.30,,,,,
T,41.302973985,-95.954018664,319.5,-0.9,10.472,15.09,,,,,
T,41.303165482,-95.954270777,320.0,1.6,10.502,29.97,,,,,
T,41.303523460,-95.954728257,320.2,0.4,10.557,55.21,,,,,
T,41.303865480,-95.955140776,320.3,0.1,10.609,51.35,,,,,
T,41.304396769,-95.955627334,320.2,-0.1,10.681,71.71,,,,,
T,41.304758631,-95.956102923,319.8,-0.6,10.737,56.58,,,,,
T,41.305216984,-95.956361016,319.5,-0.5,10.792,55.30,,,,,
T,41.305731236,-95.956579776,319.2,-0.5,10.852,59.98,,,,,
T,41.306224257,-95.956508246,319.8,1.0,10.907,55.08,,,,,
T,41.306521356,-95.956589816,320.0,0.5,10.941,33.70,,,,,
T,41.306805244,-95.956515474,319.8,-0.6,10.973,32.14,,,,,
T,41.307303723,-95.956536194,319.8,0.1,11.029,55.39,,,,,
T,41.307904615,-95.956654907,319.1,-1.0,11.096,67.47,,,,,
T,41.308720713,-95.956617779,317.9,-1.4,11.187,90.69,,,,,
T,41.309611625,-95.956592251,317.1,-0.8,11.286,98.97,,,,,
T,41.310409932,-95.956596089,316.4,-0.8,11.375,88.66,,,,,
T,41.311337893,-95.956605639,316.4,0.0,11.478,103.06,,,,,
T,41.312099507,-95.956563781,316.8,0.5,11.562,84.66,,,,,
T,41.313353714,-95.956594711,316.5,-0.3,11.702,139.32,,,,,
T,41.314423757,-95.956656395,318.3,1.5,11.820,118.95,,,,,
T,41.315706048,-95.956625213,318.7,0.3,11.963,142.44,,,,,
T,41.316935635,-95.956562736,318.4,-0.2,12.100,136.66,,,,,
T,41.317842464,-95.956529121,318.4,-0.1,12.200,100.75,,,,,
T,41.318332236,-95.956526655,318.0,-0.6,12.255,54.39,,,,,
T,41.319194315,-95.956512725,317.9,-0.1,12.350,95.75,,,,,
T,41.320129860,-95.956561573,318.5,0.5,12.454,103.98,,,,,
T,41.321118746,-95.956515294,319.0,0.5,12.564,109.89,,,,,
T,41.322564438,-95.956504804,319.5,0.3,12.725,160.56,,,,,
T,41.322909801,-95.956688128,319.4,-0.2,12.766,41.31,,,,,
T,41.323368279,-95.956809153,319.2,-0.4,12.818,51.92,,,,,
T,41.324182923,-95.957000094,316.5,-2.9,12.910,91.88,,,,,
T,41.324939373,-95.957216806,315.7,-0.9,12.996,85.95,,,,,
T,41.326149470,-95.957548442,315.8,0.1,13.133,137.23,,,,,
T,41.327171952,-95.957814778,314.1,-1.5,13.249,115.73,,,,,
T,41.328193491,-95.958137640,314.6,0.5,13.366,116.63,,,,,
T,41.329561765,-95.958525682,319.6,3.2,13.521,155.39,,,,,
T,41.330547102,-95.958747577,319.9,0.3,13.632,111.00,,,,,
T,41.333426621,-95.959587237,319.7,-0.1,13.959,327.43,,,,,
T,41.336366541,-95.960410319,319.6,-0.0,14.293,333.70,,,,,
T,41.338562526,-95.961047140,319.0,-0.2,14.543,249.64,,,,,
T,41.339648421,-95.961380318,319.2,0.2,14.667,123.78,,,,,
T,41.340544750,-95.961609601,319.4,0.2,14.768,101.38,,,,,
T,41.341019354,-95.961751860,317.3,-3.8,14.822,54.04,,,,,
T,41.341395205,-95.961993643,315.4,-4.1,14.868,46.39,,,,,
T,41.341733407,-95.962410217,314.5,-1.9,14.920,51.25,,,,,
T,41.342340743,-95.963100672,310.9,-4.1,15.008,88.82,,,,,
T,41.342662483,-95.963417397,310.5,-0.7,15.053,44.49,,,,,
T,41.342805943,-95.963594470,310.1,-1.9,15.075,21.76,,,,,
T,41.343023189,-95.963735929,309.9,-0.8,15.102,26.88,,,,,
T,41.343206502,-95.963870852,310.0,0.3,15.125,23.28,,,,,
T,41.343233611,-95.964700885,309.5,-0.7,15.194,69.54,,,,,
T,41.343298802,-95.966273071,310.9,1.0,15.326,131.79,,,,,
T,41.343404267,-95.967165866,312.9,2.6,15.402,75.64,,,,,
T,41.343494748,-95.968985793,313.4,0.4,15.554,152.65,,,,,
T,41.343572802,-95.969988699,313.8,0.5,15.639,84.39,,,,,
T,41.343697956,-95.971441479,312.5,-1.1,15.761,122.38,,,,,
T,41.343661928,-95.971900967,311.5,-2.6,15.800,38.67,,,,,
T,41.343675736,-95.974193703,313.8,1.2,15.992,191.90,,,,,
T,41.343716327,-95.977083508,317.3,1.4,16.234,241.91,,,,,
T,41.343605517,-95.979459709,319.8,1.2,16.433,199.26,,,,,
T,41.343785556,-95.981415364,321.0,0.7,16.598,164.90,,,,,
T,41.344027650,-95.983549697,321.4,0.2,16.778,180.65,,,,,
T,41.344379369,-95.986028270,322.3,0.4,16.990,211.09,,,,,
T,41.344651066,-95.988315570,326.3,2.0,17.183,193.80,,,,,
T,41.345019277,-95.990076654,327.8,1.0,17.336,152.96,,,,,
T,41.345503640,-95.991136027,328.4,0.7,17.440,103.71,,,,,
T,41.346393269,-95.992513450,329.1,0.4,17.592,151.83,,,,,
T,41.347576720,-95.994410165,332.6,1.7,17.798,206.09,,,,,
T,41.348720738,-95.996505355,335.0,1.1,18.014,216.54,,,,,
T,41.349498528,-95.997755720,334.0,-0.7,18.150,135.69,,,,,
T,41.350380895,-95.999468564,337.9,2.2,18.324,173.64,,,,,
T,41.351258186,-96.001199532,338.7,0.4,18.498,174.58,,,,,
T,41.352348052,-96.003267269,344.9,3.0,18.710,211.17,,,,,
T,41.353298370,-96.005040312,346.8,1.1,18.892,182.09,,,,,
T,41.354156003,-96.006689482,348.1,0.8,19.059,167.69,,,,,
T,41.354878480,-96.007865515,350.7,2.0,19.186,126.98,,,,,
T,41.355485084,-96.008827878,354.9,4.0,19.291,105.00,,,,,
T,41.356342236,-96.009785897,367.0,9.7,19.416,124.46,,,,,
T,41.357452365,-96.011163166,371.5,2.7,19.585,168.77,,,,,
T,41.358063122,-96.011920925,378.8,7.8,19.677,92.85,,,,,
T,41.358396432,-96.012545257,385.3,10.2,19.741,64.03,,,,,
T,41.358885802,-96.013326624,385.7,0.4,19.826,85.02,,,,,
T,41.359466840,-96.014446495,382.9,-2.4,19.940,113.78,,,,,
T,41.360268042,-96.015614206,386.7,2.8,20.072,132.15,,,,,
T,41.361036735,-96.017328528,386.1,-0.3,20.239,166.93,,,,,
T,41.361109644,-96.017397626,386.1,0.1,20.249,9.95,,,,,
T,41.362032932,-96.019177292,391.7,3.1,20.430,180.80,,,,,
T,41.362875309,-96.020562940,383.8,-5.3,20.579,148.98,,,,,
T,41.363737067,-96.022520087,399.5,8.3,20.769,189.67,,,,,
T,41.364331466,-96.024547213,393.0,-3.6,20.951,182.00,,,,,
T,41.364691616,-96.026840223,378.3,-7.5,21.147,195.98,,,,,
T,41.364710198,-96.029726135,368.3,-4.1,21.388,241.47,,,,,
T,41.364616285,-96.033277314,372.8,1.5,21.685,297.31,,,,,
T,41.364791215,-96.035128750,387.2,9.3,21.842,156.12,,,,,
T,41.364669083,-96.038137767,372.4,-5.9,22.094,252.13,,,,,
T,41.364673707,-96.041522469,363.8,-3.1,22.377,283.20,,,,,
T,41.364693983,-96.043639127,357.9,-3.3,22.554,177.11,,,,,
T,41.364902286,-96.050090561,350.8,-1.3,23.094,540.28,,,,,
T,41.364965028,-96.053854095,345.7,-1.6,23.409,314.97,,,,,
T,41.365107353,-96.056728300,343.0,-1.1,23.650,241.00,,,,,
T,41.365191336,-96.062453029,349.1,1.3,24.129,479.07,,,,,
T,41.364824591,-96.066510728,368.2,5.6,24.471,341.94,,,,,
T,41.364780162,-96.072642464,384.5,3.2,24.984,513.06,,,,,
T,41.364696725,-96.075775215,381.4,-1.2,25.247,262.28,,,,,
T,41.364669895,-96.078968351,382.7,0.5,25.514,267.19,,,,,
T,41.364643142,-96.082775336,386.8,1.3,25.832,318.54,,,,,
T,41.364713853,-96.087092729,387.2,0.1,26.194,361.32,,,,,
T,41.364687549,-96.092652209,362.2,-5.4,26.659,465.17,,,,,
T,41.364633112,-96.095574511,360.0,-0.9,26.903,244.58,,,,,
T,41.364537009,-96.098253969,359.2,-0.4,27.128,224.44,,,,,
T,41.364696729,-96.099668524,352.1,-5.9,27.248,119.68,,,,,
T,41.364689009,-96.102683117,356.7,1.8,27.500,252.23,,,,,
T,41.365110818,-96.104008260,366.1,7.8,27.620,120.36,,,,,
T,41.365680932,-96.105440192,366.5,0.3,27.756,135.51,,,,,
T,41.366429866,-96.106817585,365.3,-0.8,27.898,142.13,,,,,
T,41.367643680,-96.107738600,372.3,4.5,28.053,155.28,,,,,
T,41.369215103,-96.109104839,383.2,5.2,28.262,208.63,,,,,
T,41.370629233,-96.110597850,376.8,-3.2,28.462,200.67,,,,,
T,41.371117717,-96.111123976,381.6,6.8,28.532,69.86,,,,,
T,41.371439320,-96.112086869,376.1,-6.2,28.620,88.12,,,,,
T,41.371857137,-96.113225790,366.7,-8.9,28.726,105.98,,,,,
T,41.371984454,-96.114366559,364.7,-2.1,28.823,96.48,,,,,
T,41.372226567,-96.115483052,370.9,6.4,28.920,97.20,,,,,
T,41.372057875,-96.117411407,358.1,-7.8,29.082,162.41,,,,,
T,41.372113567,-96.119318347,356.0,-1.3,29.242,159.65,,,,,
T,41.372035328,-96.122573966,375.2,7.0,29.515,272.50,,,,,
T,41.371956599,-96.125377425,369.8,-2.3,29.749,234.70,,,,,
T,41.371967340,-96.129253173,363.2,-2.0,30.074,324.25,,,,,
T,41.371962208,-96.134010322,380.4,4.3,30.472,397.99,,,,,
T,41.371994722,-96.136977114,374.6,-2.3,30.720,248.23,,,,,
T,41.372027910,-96.140214957,359.3,-5.6,30.991,270.90,,,,,
T,41.371951060,-96.143428527,342.2,-6.4,31.260,268.98,,,,,
T,41.371990421,-96.147410489,354.6,3.7,31.593,333.16,,,,,
T,41.371916729,-96.149787076,361.9,3.6,31.792,198.99,,,,,
T,41.371970986,-96.153123536,360.5,-0.5,32.071,279.19,,,,,
T,41.371881733,-96.155516641,347.8,-6.3,32.271,200.45,,,,,
T,41.372048198,-96.157514734,355.5,4.6,32.440,168.18,,,,,
T,41.372137104,-96.158684402,361.0,5.6,32.538,98.35,,,,,
T,41.372147119,-96.158791868,361.2,1.6,32.547,9.06,,,,,
T,41.372339824,-96.159823163,365.4,4.7,32.636,88.89,,,,,
T,41.372713530,-96.160849079,371.3,6.2,32.731,95.34,,,,,
T,41.373061472,-96.162206835,368.3,-2.5,32.851,119.98,,,,,
T,41.373369805,-96.162945740,364.8,-5.0,32.922,70.67,,,,,
T,41.373867654,-96.163933685,359.8,-5.0,33.021,99.44,,,,,
T,41.374313911,-96.164862877,359.0,-0.9,33.114,92.19,,,,,
T,41.375068872,-96.165994684,351.3,-6.1,33.240,126.47,,,,,
T,41.376335434,-96.167669759,361.1,4.9,33.439,198.55,,,,,
T,41.376906525,-96.168486107,366.4,5.7,33.532,93.20,,,,,
T,41.377679808,-96.170406904,369.3,1.6,33.714,182.19,,,,,
T,41.378271666,-96.172228097,366.1,-2.0,33.880,165.92,,,,,
T,41.378580007,-96.173659503,357.9,-6.6,34.004,124.54,,,,,
T,41.378796200,-96.175502312,364.6,4.3,34.160,156.01,,,,,
T,41.378899113,-96.177655484,351.7,-7.2,34.341,180.48,,,,,
T,41.379024822,-96.180021407,338.5,-6.6,34.539,198.40,,,,,
T,41.378817043,-96.183117487,335.2,-1.3,34.799,260.02,,,,,
T,41.378855250,-96.186839200,338.5,1.1,35.111,311.36,,,,,
T,41.378837637,-96.191880839,342.4,0.9,35.532,421.75,,,,,
T,41.378847363,-96.196299812,356.9,3.9,35.902,369.66,,,,,
T,41.378996998,-96.198983266,360.3,1.5,36.127,225.09,,,,,
T,41.379024967,-96.203666381,366.6,1.6,36.519,391.76,,,,,
T,41.378936845,-96.206785073,366.9,0.1,36.780,261.07,,,,,
T,41.378925242,-96.210217795,376.6,3.4,37.067,287.16,,,,,
T,41.378984895,-96.214323752,381.0,1.3,37.411,343.53,,,,,
T,41.378841091,-96.215983535,388.0,5.0,37.550,139.76,,,,,
T,41.378776604,-96.220417969,386.5,-0.4,37.921,371.02,,,,,
T,41.378721626,-96.222961899,389.7,1.5,38.134,212.89,,,,,
T,41.378641554,-96.225557661,383.1,-3.1,38.352,217.32,,,,,
T,41.378650878,-96.228587382,366.8,-6.4,38.605,253.44,,,,,
T,41.378627239,-96.231764765,364.4,-0.9,38.871,265.81,,,,,
T,41.378814490,-96.234083492,377.1,6.5,39.066,195.08,,,,,
T,41.378729428,-96.236629452,374.5,-1.2,39.279,213.18,,,,,
T,41.378800101,-96.241286581,361.8,-3.2,39.669,389.66,,,,,
T,41.378879745,-96.244389515,356.6,-2.0,39.929,259.72,,,,,
T,41.378931160,-96.246900640,364.7,3.8,40.139,210.14,,,,,
T,41.378966710,-96.250314713,364.0,-0.2,40.424,285.62,,,,,
T,41.379002240,-96.258615621,371.2,1.0,41.119,694.39,,,,,
T,41.378996492,-96.261541480,385.4,5.8,41.363,244.75,,,,,
T,41.378979230,-96.264844276,379.6,-2.1,41.640,276.29,,,,,
T,41.378987426,-96.268416095,395.5,5.3,41.939,298.79,,,,,
T,41.378857692,-96.270569177,392.1,-1.9,42.119,180.68,,,,,
T,41.378784944,-96.274059434,393.8,0.6,42.411,292.08,,,,,
T,41.378776178,-96.277729160,381.1,-4.1,42.718,306.98,,,,,
T,41.378839070,-96.280642005,380.5,-0.2,42.962,243.76,,,,,
T,41.378859491,-96.283651529,373.8,-2.6,43.214,251.76,,,,,
T,41.378876807,-96.285474096,368.3,-3.6,43.366,152.47,,,,,
T,41.378852705,-96.288431964,358.8,-3.9,43.614,247.44,,,,,
T,41.378942313,-96.291321364,350.1,-3.6,43.856,241.91,,,,,
T,41.379029009,-96.293927674,348.1,-0.9,44.074,218.23,,,,,
T,41.378951875,-96.298887021,347.5,-0.2,44.489,414.94,,,,,
T,41.378938276,-96.303159285,349.3,0.5,44.846,357.38,,,,,
T,41.378954541,-96.330625940,347.6,-0.1,47.144,2297.63,,,,,
T,41.378882014,-96.367874486,350.8,0.1,50.260,3115.91,,,,,
T,41.378944600,-96.406246972,353.7,0.1,53.470,3209.92,,,,,
T,41.378888253,-96.407129772,353.7,0.0,53.544,74.11,,,,,
T,41.378644354,-96.408039270,353.8,0.1,53.625,80.76,,,,,
T,41.378378876,-96.408962691,354.5,0.8,53.707,82.68,,,,,
T,41.377984427,-96.409772884,355.1,0.8,53.788,80.70,,,,,
T,41.377505396,-96.410640373,355.6,0.5,53.878,89.98,,,,,
T,41.373343989,-96.416683804,356.5,0.1,54.563,684.98,,,,,
T,41.373302857,-96.417285612,356.5,0.1,54.613,50.55,,,,,
T,41.373424700,-96.417777134,356.5,0.0,54.657,43.29,,,,,
T,41.373582125,-96.418576383,356.6,0.1,54.726,69.11,,,,,
T,41.373728336,-96.419250455,356.8,0.4,54.785,58.68,,,,,
T,41.373963838,-96.419776290,356.8,0.0,54.836,51.18,,,,,
T,41.374414058,-96.420591223,356.8,-0.0,54.920,84.55,,,,,
T,41.374759342,-96.421266368,356.8,0.1,54.989,68.27,,,,,
T,41.376860750,-96.423637884,356.8,0.0,55.295,306.31,,,,,
T,41.378078852,-96.425154519,356.7,-0.0,55.480,185.47,,,,,
T,41.380374420,-96.427774298,356.8,0.0,55.816,336.19,,,,,
T,41.385921569,-96.434641091,358.1,0.1,56.659,842.29,,,,,
T,41.387048718,-96.436035894,358.3,0.1,56.830,171.12,,,,,
T,41.387973760,-96.437061964,357.7,-0.4,56.964,133.87,,,,,
T,41.389181831,-96.438221315,357.4,-0.2,57.129,165.54,,,,,
T,41.390657493,-96.439745915,357.7,0.1,57.337,207.65,,,,,
T,41.391579285,-96.440590412,357.3,-0.4,57.461,124.38,,,,,
T,41.392881911,-96.441840963,356.8,-0.2,57.640,178.52,,,,,
T,41.394180821,-96.443046181,356.8,-0.0,57.816,175.98,,,,,
T,41.395130653,-96.443720601,356.8,0.0,57.935,119.62,,,,,
T,41.395665440,-96.444043492,356.8,0.0,58.001,65.24,,,,,
T,41.396195127,-96.444344846,356.8,0.0,58.065,64.00,,,,,
T,41.396636613,-96.444525147,356.8,0.0,58.116,51.30,,,,,
T,41.397175174,-96.444745099,356.8,0.0,58.179,62.58,,,,,
T,41.397435929,-96.444713148,356.9,0.4,58.208,29.08,,,,,
T,41.398252073,-96.445021099,358.2,1.3,58.302,94.23,,,,,
T,41.398784701,-96.444883890,358.0,-0.3,58.362,60.26,,,,,
T,41.399545566,-96.444974169,358.1,0.1,58.447,84.84,,,,,
T,41.400407147,-96.444916995,358.0,-0.1,58.543,95.81,,,,,
T,41.401425587,-96.445001672,358.0,0.0,58.656,113.33,,,,,
T,41.402604629,-96.444885576,358.0,0.0,58.787,131.31,,,,,
T,41.418466473,-96.444894337,357.4,-0.0,60.549,1761.65,,,,,
T,41.454768960,-96.444798088,357.8,0.0,64.581,4031.85,,,,,
T,41.455916427,-96.444738647,357.4,-0.3,64.708,127.54,,,,,
T,41.459655091,-96.444773097,357.1,-0.1,65.124,415.24,,,,,
T,41.460964428,-96.444773348,357.4,0.2,65.269,145.42,,,,,
T,41.465505324,-96.444948697,357.5,0.0,65.774,504.54,,,,,
T,41.467834991,-96.445752019,357.4,-0.0,66.041,267.30,,,,,
T,41.470005233,-96.447167387,358.0,0.2,66.309,268.47,,,,,
T,41.471902225,-96.449137637,358.3,0.1,66.577,267.35,,,,,
T,41.473467713,-96.451585321,358.6,0.1,66.845,268.39,,,,,
T,41.474618716,-96.454411447,358.9,0.1,67.114,268.46,,,,,
T,41.475337548,-96.457492216,359.2,0.1,67.383,269.43,,,,,
T,41.475639129,-96.461052010,359.6,0.1,67.682,299.22,,,,,
T,41.476201974,-96.469958536,361.0,0.2,68.429,746.56,,,,,
T,41.476290487,-96.476036087,361.3,0.1,68.937,507.73,,,,,
T,41.476279003,-96.479955297,362.2,0.3,69.264,327.36,,,,,
T,41.476274813,-96.481374688,362.6,0.3,69.382,118.56,,,,,
T,41.476274813,-96.482445477,362.6,0.0,69.472,89.44,,,,,
T,41.476273891,-96.482803384,362.8,0.6,69.502,29.89,,,,,
T,41.476273807,-96.487824479,362.2,-0.1,69.921,419.40,,,,,
T,41.476274058,-96.488183644,362.2,0.0,69.951,30.00,,,,,
T,41.476277243,-96.489617620,362.2,0.0,70.071,119.78,,,,,
T,41.476275567,-96.489973683,362.4,0.6,70.101,29.74,,,,,
T,41.476272550,-96.491034078,362.9,0.6,70.189,88.57,,,,,
T,41.476247320,-96.493860623,362.9,0.0,70.425,236.11,,,,,
T,41.476243632,-96.495279009,362.9,0.0,70.544,118.47,,,,,
T,41.476239860,-96.502091903,363.7,0.1,71.113,569.06,,,,,
T,41.476233155,-96.507105622,364.4,0.2,71.532,418.78,,,,,
T,41.475970130,-96.510704728,364.7,0.1,71.834,302.04,,,,,
T,41.475173933,-96.513727410,365.3,0.2,72.101,267.51,,,,,
T,41.473887563,-96.516434932,365.9,0.2,72.369,267.50,,,,,
T,41.472383430,-96.518471651,365.9,0.0,72.607,238.43,,,,,
T,41.468718862,-96.522105792,365.9,0.0,73.115,507.74,,,,,
T,41.461817706,-96.528936876,365.9,0.0,74.071,955.58,,,,,
T,41.455143699,-96.535548102,367.4,0.2,74.995,924.41,,,,,
T,41.452743458,-96.538113384,367.4,0.0,75.337,342.06,,,,,
T,41.451827064,-96.540023787,367.7,0.2,75.526,189.31,,,,,
T,41.451433701,-96.542230826,368.8,0.6,75.716,189.52,,,,,
T,41.451421296,-96.546146935,369.0,0.1,76.043,327.23,,,,,
T,41.451433869,-96.551028723,369.0,0.0,76.451,407.92,,,,,
T,41.451458931,-96.558084860,369.8,0.1,77.041,589.61,,,,,
T,41.451447532,-96.561114080,370.5,0.3,77.294,253.12,,,,,
T,41.451446358,-96.562701529,370.3,-0.2,77.426,132.64,,,,,
T,41.451451303,-96.563103274,370.4,0.3,77.460,33.57,,,,,
T,41.451461446,-96.563920509,370.5,0.1,77.528,68.30,,,,,
T,41.451472594,-96.564329965,370.7,0.6,77.562,34.24,,,,,
T,41.451502517,-96.567345355,371.3,0.2,77.814,251.98,,,,,
T,41.451514922,-96.571249897,371.1,-0.1,78.141,326.26,,,,,
T,41.451551299,-96.578173097,371.2,0.0,78.719,578.51,,,,,
T,41.451536631,-96.585439788,372.1,0.2,79.326,607.20,,,,,
T,41.451536128,-96.593690515,372.0,-0.0,80.016,689.42,,,,,
T,41.451541241,-96.601617197,373.2,0.2,80.678,662.34,,,,,
T,41.451559178,-96.608550707,373.5,0.0,81.258,579.36,,,,,
T,41.451599076,-96.615816643,374.9,0.2,81.865,607.15,,,,,
T,41.451735366,-96.619919585,374.5,-0.1,82.208,343.17,,,,,
T,41.451875009,-96.621750528,374.6,0.0,82.362,153.77,,,,,
T,41.452393094,-96.624145657,374.2,-0.2,82.570,208.24,,,,,
T,41.452746140,-96.626404412,374.3,0.1,82.763,192.76,,,,,
T,41.452611443,-96.628728714,375.1,0.4,82.957,194.79,,,,,
T,41.452395944,-96.630957546,375.0,-0.1,83.145,187.77,,,,,
T,41.452565761,-96.633755425,375.1,0.0,83.380,234.54,,,,,
T,41.453050906,-96.641675904,375.1,0.0,84.044,664.00,,,,,
T,41.453440078,-96.648271624,375.7,0.1,84.597,552.81,,,,,
