type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),color,width,opacity,name,desc
T,41.264620157,-95.924424931,298.6,,0.000,,ASC 2018 Stage 1,
T,41.264613645,-95.924284802,298.8,1.2,0.012,11.76,,,,,
T,41.264592237,-95.924054255,298.5,-1.4,0.031,19.47,,,,,
T,41.264513452,-95.923966859,298.0,-4.5,0.043,11.41,,,,,
T,41.264402827,-95.923874356,297.2,-5.6,0.057,14.53,,,,,
T,41.264281684,-95.923887302,297.2,0.2,0.071,13.50,,,,,
T,41.264151715,-95.924039599,297.2,-0.0,0.090,19.27,,,,,
T,41.263989022,-95.924261889,292.2,-19.2,0.116,25.95,,,,,
T,41.263870920,-95.924529614,294.1,7.3,0.142,25.99,,,,,
T,41.263863113,-95.924702838,295.9,12.0,0.156,14.54,,,,,
T,41.263956496,-95.924928563,296.7,4.0,0.178,21.57,,,,,
T,41.264142971,-95.925118229,297.0,1.2,0.204,26.11,,,,,
T,41.264370870,-95.925371605,297.6,1.7,0.237,33.04,,,,,
T,41.264479131,-95.925530922,297.8,0.9,0.255,17.97,,,,,
T,41.264558597,-95.925635111,297.9,1.3,0.268,12.41,,,,,
T,41.264616788,-95.925852603,298.5,3.1,0.287,19.34,,,,,
T,41.264655913,-95.925887474,298.6,2.1,0.292,5.24,,,,,
T,41.264939297,-95.925835309,298.8,0.5,0.324,31.77,,,,,
T,41.265219710,-95.925768368,299.2,1.3,0.355,31.64,,,,,
T,41.265651545,-95.925662906,299.9,1.5,0.404,48.77,,,,,
T,41.265962134,-95.925610341,300.0,0.2,0.439,34.77,,,,,
T,41.266473687,-95.925485050,300.1,0.2,0.497,57.77,,,,,
T,41.267396156,-95.925387025,300.1,0.0,0.600,102.78,,,,,
T,41.268281769,-95.925305999,299.8,-0.3,0.698,98.59,,,,,
T,41.268984740,-95.925189276,300.1,0.4,0.777,78.68,,,,,
T,41.269542680,-95.925142864,302.1,3.2,0.839,62.09,,,,,
T,41.270373019,-95.925045982,299.9,-2.4,0.932,92.57,,,,,
T,41.270938561,-95.924979996,298.9,-1.6,0.995,63.05,,,,,
T,41.271459768,-95.924969611,299.5,1.1,1.052,57.89,,,,,
T,41.271910581,-95.924820627,301.8,4.4,1.104,51.60,,,,,
T,41.272225553,-95.924598067,302.1,0.8,1.144,39.64,,,,,
T,41.272513200,-95.924506086,301.3,-2.3,1.177,32.86,,,,,
T,41.272836190,-95.924629940,300.4,-2.4,1.214,37.34,,,,,
T,41.273184585,-95.923531099,301.6,1.2,1.314,99.87,,,,,
T,41.273213928,-95.922564855,299.9,-2.1,1.395,81.02,,,,,
T,41.273551529,-95.920835027,299.1,-0.5,1.545,149.71,,,,,
T,41.273795728,-95.919420401,301.8,2.2,1.666,121.59,,,,,
T,41.274034673,-95.918643296,302.9,1.5,1.736,70.31,,,,,
T,41.274235853,-95.918148086,303.0,0.3,1.784,47.12,,,,,
T,41.274843627,-95.917267776,301.6,-1.4,1.884,99.98,,,,,
T,41.275512363,-95.916617292,300.3,-1.4,1.976,92.12,,,,,
T,41.276551233,-95.915586600,299.3,-0.7,2.120,144.11,,,,,
T,41.277605576,-95.914440762,298.3,-0.7,2.271,151.42,,,,,
T,41.278676469,-95.913504839,298.5,0.1,2.414,142.45,,,,,
T,41.279695931,-95.912344459,298.4,-0.1,2.563,149.23,,,,,
T,41.282067975,-95.910048427,299.2,0.3,2.889,326.19,,,,,
T,41.283787410,-95.908198577,298.8,-0.2,3.135,245.93,,,,,
T,41.284779350,-95.907342866,298.8,0.0,3.266,131.43,,,,,
T,41.285712300,-95.906366015,298.8,0.0,3.398,132.03,,,,,
T,41.286665065,-95.905447822,298.9,0.1,3.529,130.82,,,,,
T,41.287288484,-95.904803700,299.1,0.2,3.617,87.78,,,,,
T,41.288325007,-95.903754700,298.9,-0.1,3.762,144.82,,,,,
T,41.289179892,-95.903023011,298.8,-0.1,3.875,113.01,,,,,
T,41.292420998,-95.901705552,296.2,-0.7,4.251,376.49,,,,,
T,41.295359404,-95.900727131,296.1,-0.0,4.588,336.47,,,,,
T,41.297148953,-95.900751073,296.1,-0.0,4.787,198.76,,,,,
T,41.298949403,-95.901087620,296.0,-0.1,4.989,201.93,,,,,
T,41.299782515,-95.901420424,295.9,-0.1,5.085,96.63,,,,,
T,41.300947702,-95.902089160,295.8,-0.1,5.226,141.01,,,,,
T,41.302057591,-95.903671857,295.8,-0.0,5.407,181.01,,,,,
T,41.304727329,-95.906414039,297.4,0.4,5.782,375.04,,,,,
T,41.306808182,-95.908379911,298.5,0.4,6.066,283.74,,,,,
