type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),color,width,opacity,name,desc
T,43.461642088,-113.561707729,1795.8,,0.000,,#0098e6,4,1.00,ASC 2018 Stage 4,
T,43.461803322,-113.560933032,1794.7,-1.7,0.065,65.20,,,,,
T,43.461946166,-113.560306841,1794.2,-0.9,0.118,53.10,,,,,
T,43.461996024,-113.559788564,1793.6,-1.4,0.161,42.31,,,,,
T,43.461901212,-113.558948023,1793.9,0.4,0.229,68.83,,,,,
T,43.461710366,-113.557898264,1795.1,1.3,0.317,87.56,,,,,
T,43.461377344,-113.557140519,1791.2,-5.3,0.389,71.62,,,,,
T,43.461013798,-113.556662302,1787.7,-6.3,0.445,55.94,,,,,
T,43.460853394,-113.556640556,1787.2,-2.8,0.462,17.91,,,,,
T,43.460118933,-113.557297473,1786.2,-1.0,0.560,97.39,,,,,
T,43.459808714,-113.557410787,1785.0,-3.5,0.596,35.67,,,,,
T,43.459534140,-113.557278513,1785.4,1.2,0.628,32.33,,,,,
T,43.459109971,-113.556939528,1781.7,-6.8,0.682,54.53,,,,,
T,43.458548671,-113.556267847,1781.6,-0.1,0.765,82.73,,,,,
T,43.458299663,-113.556221618,1782.4,2.9,0.793,27.92,,,,,
T,43.458100323,-113.556357267,1784.2,7.3,0.818,24.72,,,,,
T,43.457975575,-113.556572442,1786.6,10.6,0.840,22.26,,,,,
T,43.457790390,-113.557551695,1789.5,3.6,0.922,81.88,,,,,
T,43.457763864,-113.558197538,1792.6,5.9,0.974,52.35,,,,,
T,43.457521349,-113.558452050,1790.9,-4.8,1.008,33.92,,,,,
T,43.456346372,-113.559138264,1787.1,-2.7,1.150,141.86,,,,,
T,43.456121679,-113.559136853,1785.9,-4.9,1.175,24.96,,,,,
T,43.455857114,-113.558942532,1783.8,-6.3,1.208,33.34,,,,,
T,43.455316708,-113.558062288,1781.2,-2.7,1.301,93.17,,,,,
T,43.454977060,-113.557704358,1781.7,1.0,1.349,47.57,,,,,
T,43.454487988,-113.557309415,1783.1,2.3,1.412,63.04,,,,,
T,43.454047439,-113.557006338,1786.4,5.9,1.467,54.75,,,,,
T,43.453730646,-113.556774080,1785.2,-2.9,1.507,39.90,,,,,
T,43.453541086,-113.556362916,1781.9,-8.3,1.546,39.38,,,,,
T,43.453271804,-113.555332617,1781.2,-0.9,1.635,88.60,,,,,
T,43.453237810,-113.554958947,1783.5,7.6,1.665,30.48,,,,,
T,43.453294549,-113.554510792,1786.0,6.8,1.702,36.82,,,,,
T,43.453460327,-113.554033439,1781.7,-10.0,1.745,42.80,,,,,
T,43.453620077,-113.552669335,1780.7,-0.9,1.857,111.83,,,,,
T,43.453891390,-113.551835907,1776.6,-5.5,1.931,73.88,,,,,
T,43.454075341,-113.551153150,1774.7,-3.1,1.989,58.92,,,,,
T,43.454043089,-113.550267205,1773.0,-2.4,2.061,71.80,,,,,
T,43.454000344,-113.549340331,1769.6,-4.5,2.136,75.17,,,,,
T,43.453943150,-113.548775205,1768.1,-3.2,2.183,46.18,,,,,
T,43.453842770,-113.547889482,1767.2,-1.2,2.255,72.55,,,,,
T,43.453632744,-113.545890871,1763.0,-2.6,2.419,163.44,,,,,
T,43.453044138,-113.544292101,1759.4,-2.5,2.564,144.99,,,,,
T,43.452525456,-113.543646172,1757.7,-2.2,2.641,77.81,,,,,
T,43.451619303,-113.543059870,1756.4,-1.1,2.753,111.30,,,,,
T,43.451343100,-113.542920502,1756.2,-0.7,2.785,32.69,,,,,
T,43.450926908,-113.542983789,1758.0,3.8,2.832,46.52,,,,,
T,43.450440555,-113.543349904,1762.1,6.8,2.894,61.63,,,,,
T,43.449965676,-113.543522013,1762.1,-0.1,2.948,54.57,,,,,
T,43.449266528,-113.544131276,1762.8,0.7,3.040,92.01,,,,,
T,43.448675070,-113.545225573,1767.3,4.1,3.150,110.29,,,,,
T,43.447459603,-113.547608556,1779.8,5.3,3.386,235.46,,,,,
T,43.446891607,-113.551134100,1800.9,7.2,3.678,292.28,,,,,
T,43.447046761,-113.553527549,1810.2,4.8,3.873,194.51,,,,,
T,43.447009743,-113.554222846,1812.0,3.2,3.929,56.43,,,,,
T,43.446378512,-113.555630543,1822.5,7.9,4.063,133.80,,,,,
T,43.445784123,-113.556287662,1830.2,9.1,4.148,84.80,,,,,
T,43.445505115,-113.556346589,1833.8,11.5,4.179,31.36,,,,,
T,43.445230966,-113.556208364,1836.5,8.3,4.212,32.45,,,,,
T,43.444716954,-113.555604240,1839.5,4.0,4.287,75.19,,,,,
T,43.444437532,-113.555570998,1841.2,5.3,4.318,31.16,,,,,
T,43.444135896,-113.555633686,1842.6,4.2,4.352,33.89,,,,,
T,43.443831364,-113.555948956,1843.5,2.2,4.394,42.38,,,,,
T,43.443508217,-113.556465546,1839.3,-7.6,4.449,55.12,,,,,
T,43.443399076,-113.556516978,1837.9,-11.1,4.462,12.82,,,,,
T,43.443262129,-113.556370829,1836.6,-6.6,4.481,19.27,,,,,
T,43.443219079,-113.556260319,1836.2,-4.0,4.491,10.14,,,,,
T,43.443295291,-113.555526299,1837.1,1.5,4.551,60.02,,,,,
T,43.443259528,-113.555166599,1835.9,-4.1,4.581,29.39,,,,,
T,43.443099699,-113.554904655,1835.3,-2.2,4.609,27.66,,,,,
T,43.442486555,-113.554511022,1831.8,-4.6,4.684,75.21,,,,,
T,43.441810081,-113.554035572,1828.3,-4.2,4.768,84.44,,,,,
T,43.441092991,-113.553238515,1828.1,-0.2,4.871,102.52,,,,,
T,43.440702380,-113.553014549,1827.1,-2.0,4.918,47.03,,,,,
T,43.439858157,-113.551968778,1820.9,-4.9,5.044,126.35,,,,,
T,43.439487642,-113.551248427,1809.4,-16.1,5.115,71.38,,,,,
T,43.439357473,-113.550747066,1803.7,-13.3,5.159,43.09,,,,,
T,43.439331858,-113.550307934,1800.1,-10.0,5.194,35.66,,,,,
T,43.439424585,-113.549838541,1799.9,-0.3,5.234,39.37,,,,,
T,43.439568184,-113.548919803,1794.2,-7.5,5.310,76.07,,,,,
T,43.439630019,-113.548092148,1793.7,-0.7,5.377,67.36,,,,,
T,43.439657325,-113.547133435,1792.3,-1.9,5.455,77.67,,,,,
T,43.439970161,-113.545826287,1787.9,-3.9,5.566,111.38,,,,,
T,43.439878493,-113.543643213,1778.4,-5.4,5.743,177.03,,,,,
T,43.439932550,-113.542919591,1774.8,-6.0,5.802,58.89,,,,,
T,43.440107356,-113.542240139,1772.4,-4.2,5.860,58.33,,,,,
T,43.440713542,-113.540875699,1768.8,-2.8,5.990,129.37,,,,,
T,43.441561175,-113.539419275,1766.3,-1.7,6.141,150.90,,,,,
T,43.441685497,-113.539310924,1766.9,3.7,6.157,16.36,,,,,
T,43.442219735,-113.539222323,1767.1,0.3,6.217,59.79,,,,,
T,43.442492559,-113.538913611,1763.8,-8.3,6.256,39.29,,,,,
T,43.442692287,-113.538449955,1761.2,-6.1,6.300,43.60,,,,,
T,43.442928920,-113.538121210,1760.6,-1.6,6.337,37.41,,,,,
T,43.443295148,-113.537840112,1759.1,-3.1,6.384,46.62,,,,,
T,43.443764510,-113.537620152,1757.8,-2.4,6.439,55.10,,,,,
T,43.444207149,-113.537371916,1756.5,-2.5,6.492,53.13,,,,,
T,43.444548364,-113.536952555,1756.1,-0.8,6.543,50.89,,,,,
T,43.444762179,-113.536885984,1756.1,0.0,6.567,24.36,,,,,
T,43.446099441,-113.537096414,1753.2,-2.0,6.717,149.55,,,,,
T,43.446262389,-113.537230104,1752.9,-1.4,6.738,21.09,,,,,
T,43.446363912,-113.537487176,1753.2,1.3,6.761,23.67,,,,,
T,43.446526202,-113.538193680,1754.1,1.6,6.821,59.97,,,,,
T,43.447682248,-113.539821686,1756.1,1.1,7.005,184.02,,,,,
T,43.448339516,-113.541228131,1756.1,-0.0,7.141,135.25,,,,,
T,43.448455729,-113.541916522,1756.1,0.0,7.198,57.20,,,,,
T,43.448725403,-113.542309414,1756.1,0.0,7.242,43.69,,,,,
T,43.449576022,-113.542877611,1757.0,0.9,7.347,105.10,,,,,
T,43.449792207,-113.543105852,1758.4,4.8,7.377,30.30,,,,,
T,43.449949226,-113.543426980,1761.1,8.6,7.408,31.30,,,,,
T,43.450171752,-113.543355937,1761.3,0.6,7.434,25.38,,,,,
T,43.450468441,-113.543250818,1761.3,-0.1,7.468,34.04,,,,,
T,43.450930495,-113.542899625,1757.3,-6.7,7.526,58.68,,,,,
T,43.451371887,-113.542811771,1756.1,-2.4,7.576,49.55,,,,,
T,43.452610221,-113.543627255,1757.4,0.8,7.729,152.60,,,,,
T,43.453109506,-113.544256159,1758.9,2.1,7.804,75.29,,,,,
T,43.453741744,-113.545894207,1762.2,2.2,7.954,150.04,,,,,
T,43.454073808,-113.549240733,1770.2,2.9,8.227,273.36,,,,,
T,43.454160638,-113.551180472,1774.9,3.0,8.385,157.29,,,,,
T,43.453687431,-113.552737868,1780.5,4.1,8.521,136.58,,,,,
T,43.453465356,-113.554366095,1781.9,1.0,8.655,134.08,,,,,
T,43.453312864,-113.555167455,1781.2,-1.1,8.722,67.04,,,,,
T,43.453733711,-113.556613084,1783.4,1.8,8.848,126.00,,,,,
T,43.454542334,-113.557235446,1782.1,-1.2,8.951,103.00,,,,,
T,43.455322036,-113.557864549,1781.1,-1.0,9.052,100.48,,,,,
T,43.455906991,-113.558876963,1783.3,2.1,9.156,104.58,,,,,
T,43.456126929,-113.559057012,1785.7,8.4,9.185,28.45,,,,,
T,43.456378300,-113.559042547,1787.0,4.7,9.213,27.95,,,,,
T,43.457518842,-113.558336117,1790.0,2.1,9.352,139.02,,,,,
T,43.457740755,-113.558019140,1791.5,4.3,9.387,35.58,,,,,
T,43.457750712,-113.557495008,1788.7,-6.7,9.430,42.43,,,,,
T,43.457951077,-113.556441765,1785.7,-3.4,9.518,88.10,,,,,
T,43.458203108,-113.556212099,1782.8,-8.7,9.551,33.61,,,,,
T,43.458469255,-113.556161925,1781.6,-4.0,9.581,29.85,,,,,
T,43.458876722,-113.556578929,1781.1,-0.8,9.638,56.47,,,,,
