Longitude	Latitude	Elevation	Distance	CostPerKm	ElevCost	TurnCost	NodeCost	InitialCost	WayTags	NodeTags
-113539113	43451510	1749	182	12107	0	0	0	0	highway=unclassified oneway=yes	
-113542984	43451719	1757	449	2302	0	0	0	0	highway=unclassified	highway=stop
-113543065	43451691	1757	8	2159	0	0	0	0	highway=unclassified	
-113554356	43453360	1787	1062	2556	0	0	0	0	highway=unclassified surface=asphalt maxspeed=40	highway=passing_place
-113558927	43455855	1787	527	2528	0	0	0	0	highway=unclassified surface=asphalt maxspeed=40	
-113556706	43460687	1789	757	4942	0	0	0	0	highway=unclassified surface=asphalt maxspeed=20	
-113556681	43461058	1791	46	4942	0	0	0	0	highway=unclassified surface=asphalt maxspeed=20 oneway=no	
-113556943	43461277	1791	36	10319	0	0	0	0	highway=unclassified surface=asphalt maxspeed=20 oneway=yes	
-113557300	43461435	1792	35	5350	0	0	0	0	highway=unclassified surface=asphalt maxspeed=20 oneway=no	highway=crossing crossing=uncontrolled
-113563191	43461853	1802	515	4942	0	0	0	0	highway=unclassified surface=asphalt maxspeed=20 oneway=no	highway=stop
-113563271	43461937	1803	12	4942	0	0	0	0	highway=unclassified surface=asphalt maxspeed=20 oneway=no	
-113562499	43462333	1802	8	14834	0	0	0	0	highway=primary surface=asphalt maxspeed=100	
-113563271	43461937	1803	8	20229	0	0	0	0	reversedirection=yes highway=primary surface=asphalt maxspeed=100	
-113955865	43302098	1456	41426	1180	0	0	0	0	reversedirection=yes highway=primary	
-114142949	43330952	1486	16990	1395	0	0	0	0	highway=primary surface=paved oneway=no	railway=level_crossing
-114534519	43342010	1518	31958	1154	0	0	0	0	highway=primary surface=paved oneway=no	
-115086547	43299275	1549	46146	1154	0	0	0	0	reversedirection=yes highway=primary	
-115663215	43140423	982	65628	3637	0	0	0	0	highway=primary	
-115693441	43133277	960	2904	1919	0	0	0	0	reversedirection=yes highway=primary	highway=traffic_signals
-115694542	43132825	959	103	3587	0	0	0	0	reversedirection=yes highway=primary	highway=traffic_signals
-115695624	43132348	959	103	3610	0	0	0	0	reversedirection=yes highway=primary	
