type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),color,width,opacity,name,desc
T,42.674348177,-108.622615831,1829.0,-4.3,22.520,95.18,,,,,
T,42.674092613,-108.622443499,1832.4,10.8,22.551,31.71,,,,,
T,42.669540402,-108.619240606,1839.6,1.3,23.121,569.78,,,,,
T,42.667101268,-108.616592009,1840.2,0.2,23.468,347.22,,,,,
T,42.662578393,-108.610734651,1839.2,-0.1,24.163,695.00,,,,,
T,42.661063783,-108.608965315,1840.0,0.3,24.385,222.15,,,,,
T,42.659990899,-108.607704258,1838.4,-1.0,24.543,157.78,,,,,
T,42.654630504,-108.601385895,1837.8,-0.1,25.333,789.28,,,,,
T,42.653686786,-108.600527421,1835.2,-2.1,25.459,126.27,,,,,
T,42.652042592,-108.600070607,1833.8,-0.7,25.645,186.45,,,,,
T,42.650663601,-108.600520296,1826.8,-4.4,25.803,157.56,,,,,
T,42.649937142,-108.601118093,1824.4,-2.6,25.897,94.42,,,,,
T,42.648625709,-108.602537233,1832.3,4.2,26.084,186.46,,,,,
T,42.647767905,-108.603478856,1837.4,4.2,26.206,122.65,,,,,
T,42.647335567,-108.603939274,1839.4,3.3,26.267,61.09,,,,,
T,42.646901384,-108.604398183,1844.3,8.0,26.329,61.18,,,,,
T,42.646463681,-108.604854243,1847.2,4.8,26.390,61.34,,,,,
T,42.645781646,-108.605484227,1851.3,4.4,26.482,91.70,,,,,
T,42.645296753,-108.605840374,1855.3,6.5,26.543,61.27,,,,,
T,42.644788809,-108.606134243,1856.4,1.9,26.604,61.36,,,,,
T,42.644261587,-108.606356783,1859.0,4.2,26.666,61.34,,,,,
T,42.643723469,-108.606538754,1862.3,5.3,26.727,61.61,,,,,
T,42.643180825,-108.606710834,1867.1,7.8,26.789,61.91,,,,,
T,42.642361242,-108.606962040,1869.6,2.6,26.883,93.35,,,,,
T,42.641806360,-108.607092798,1874.2,7.3,26.945,62.57,,,,,
T,42.640966410,-108.607154572,1876.7,2.7,27.039,93.44,,,,,
T,42.640120089,-108.607155830,1879.4,2.9,27.133,94.01,,,,,
T,42.638992053,-108.607165553,1881.6,1.7,27.258,125.31,,,,,
T,42.637603590,-108.607287928,1887.0,3.5,27.412,154.56,,,,,
T,42.637061700,-108.607426565,1889.0,3.3,27.474,61.26,,,,,
T,42.636523666,-108.607580625,1891.4,3.9,27.535,61.09,,,,,
T,42.635986302,-108.607738540,1900.6,15.0,27.596,61.08,,,,,
T,42.635447429,-108.607893605,1905.4,7.9,27.657,61.20,,,,,
T,42.634905875,-108.608045485,1908.6,5.2,27.718,61.44,,,,,
T,42.634083610,-108.608207339,1913.5,5.4,27.811,92.30,,,,,
T,42.633530740,-108.608194850,1916.8,5.3,27.872,61.42,,,,,
T,42.632978456,-108.608101895,1915.9,-1.4,27.934,61.82,,,,,
T,42.632145546,-108.607969964,1920.0,4.4,28.027,93.15,,,,,
T,42.631022958,-108.607964097,1928.5,6.8,28.152,124.70,,,,,
T,42.630191473,-108.608168028,1934.0,5.9,28.246,93.87,,,,,
T,42.629659809,-108.608404566,1935.2,1.9,28.308,62.17,,,,,
T,42.628912898,-108.608909491,1936.3,1.2,28.401,92.73,,,,,
T,42.628449881,-108.609331017,1938.3,3.3,28.463,61.98,,,,,
T,42.628009245,-108.609791854,1942.5,6.7,28.524,61.85,,,,,
T,42.627575146,-108.610260235,1946.9,7.2,28.586,61.66,,,,,
T,42.626921944,-108.610961717,1953.5,7.2,28.679,92.61,,,,,
T,42.626488348,-108.611432780,1957.3,6.1,28.740,61.75,,,,,
T,42.625837410,-108.612139458,1964.5,7.8,28.833,92.68,,,,,
T,42.625184963,-108.612835994,1970.9,7.0,28.925,92.29,,,,,
T,42.624485996,-108.613441167,1971.2,0.3,29.018,92.16,,,,,
T,42.623711592,-108.613852048,1974.7,3.8,29.110,92.39,,,,,
T,42.622892093,-108.614075175,1980.7,6.4,29.203,92.86,,,,,
T,42.622059938,-108.614078276,1985.1,4.8,29.295,92.44,,,,,
T,42.621505223,-108.613965036,1989.9,7.7,29.358,62.32,,,,,
T,42.620450025,-108.613474444,1998.7,7.1,29.482,123.93,,,,,
T,42.619966390,-108.613102874,2001.5,4.5,29.543,61.77,,,,,
T,42.619312517,-108.612402230,2007.6,6.6,29.636,92.63,,,,,
T,42.618726622,-108.611590192,2012.0,4.7,29.729,93.14,,,,,
T,42.618335523,-108.611045117,2014.4,3.8,29.791,62.35,,,,,
T,42.617941406,-108.610506998,2019.1,7.7,29.854,62.18,,,,,
T,42.617551228,-108.609972484,2021.5,3.9,29.915,61.66,,,,,
T,42.617163062,-108.609439731,2025.3,6.2,29.977,61.40,,,,,
T,42.616781015,-108.608905049,2028.3,4.9,30.038,61.04,,,,,
T,42.616404584,-108.608368020,2032.7,7.1,30.098,60.75,,,,,
T,42.616029494,-108.607833339,2036.1,5.7,30.159,60.50,,,,,
T,42.615630515,-108.607330425,2040.0,6.4,30.220,60.56,,,,,
T,42.615415268,-108.607107382,2042.3,7.6,30.250,30.11,,,,,
T,42.614703728,-108.606601032,2044.4,2.4,30.339,89.29,,,,,
T,42.614188325,-108.606418977,2042.2,-3.8,30.398,59.17,,,,,
T,42.613657415,-108.606379917,2051.4,15.6,30.457,59.06,,,,,
T,42.613126002,-108.606489888,2060.5,15.2,30.517,59.72,,,,,
T,42.612867169,-108.606593152,2066.9,21.3,30.547,29.97,,,,,
T,42.612371966,-108.606881993,2076.0,15.1,30.607,59.90,,,,,
T,42.611659924,-108.607404521,2089.2,14.6,30.697,89.97,,,,,
T,42.611185424,-108.607753711,2092.7,5.9,30.757,59.99,,,,,
T,42.610709332,-108.608100805,2091.3,-2.3,30.817,60.07,,,,,
T,42.609985471,-108.608609922,2093.0,1.8,30.907,90.61,,,,,
T,42.609498650,-108.608949473,2095.8,4.7,30.968,60.83,,,,,
T,42.609008644,-108.609292628,2100.1,6.9,31.030,61.28,,,,,
T,42.608265839,-108.609812139,2096.5,-3.8,31.122,92.88,,,,,
T,42.607516581,-108.610330559,2107.4,11.7,31.216,93.47,,,,,
T,42.606762964,-108.610849734,2116.8,10.0,31.310,93.93,,,,,
T,42.605014499,-108.612085227,2114.2,-1.2,31.529,219.10,,,,,
T,42.604550058,-108.612500383,2118.2,6.5,31.591,61.83,,,,,
T,42.604124593,-108.612974882,2123.5,8.8,31.652,61.24,,,,,
T,42.603728883,-108.613488358,2126.0,4.0,31.713,60.89,,,,,
T,42.603340968,-108.614012310,2131.8,9.6,31.774,60.87,,,,,
T,42.602942074,-108.614523523,2134.0,3.6,31.835,61.02,,,,,
T,42.602338409,-108.615295747,2139.4,5.9,31.927,92.26,,,,,
T,42.601728206,-108.616072582,2141.7,2.4,32.020,93.05,,,,,
T,42.600863194,-108.617044883,2145.2,2.8,32.145,124.90,,,,,
T,42.599974629,-108.617942082,2148.7,2.8,32.268,123.14,,,,,
T,42.599314973,-108.618602660,2154.3,6.1,32.359,91.15,,,,,
T,42.598428000,-108.619491728,2159.5,4.3,32.482,122.60,,,,,
T,42.597534824,-108.620391777,2164.6,4.1,32.606,123.70,,,,,
T,42.595895072,-108.622411983,2157.6,-2.9,32.852,246.31,,,,,
T,42.595456783,-108.623380009,2156.1,-1.6,32.945,93.18,,,,,
T,42.595009357,-108.625161750,2151.2,-3.1,33.099,154.45,,,,,
T,42.594869547,-108.627751842,2151.8,0.3,33.313,213.15,,,,,
T,42.594831577,-108.629978076,2154.6,1.5,33.495,182.77,,,,,
T,42.594804503,-108.631472820,2159.7,4.2,33.618,122.72,,,,,
T,42.594751110,-108.634479744,2157.9,-0.7,33.865,246.86,,,,,
T,42.594739962,-108.634854667,2159.0,3.6,33.896,30.80,,,,,
T,42.594672656,-108.637474179,2167.1,3.8,34.111,215.13,,,,,
T,42.594646923,-108.638584530,2170.9,4.1,34.202,91.18,,,,,
T,42.594629824,-108.639319036,2174.8,6.5,34.262,60.31,,,,,
T,42.594604092,-108.640421089,2178.6,4.2,34.353,90.50,,,,,
T,42.594571570,-108.641527835,2183.1,4.9,34.444,90.91,,,,,
T,42.594507532,-108.642263263,2187.1,6.7,34.505,60.78,,,,,
T,42.594303181,-108.643337237,2192.4,5.8,34.596,91.02,,,,,
T,42.594105620,-108.644026397,2195.9,5.7,34.656,60.67,,,,,
T,42.593850978,-108.644680688,2200.4,7.4,34.717,60.70,,,,,
T,42.593545038,-108.645295082,2204.5,6.8,34.778,60.81,,,,,
T,42.593196603,-108.645866895,2207.6,5.1,34.839,60.83,,,,,
T,42.592809023,-108.646390932,2210.8,5.1,34.899,60.86,,,,,
T,42.592382384,-108.646853445,2211.6,1.4,34.960,60.72,,,,,
T,42.591671683,-108.647418218,2213.0,1.5,35.052,91.55,,,,,
T,42.591173127,-108.647747291,2214.3,2.2,35.113,61.62,,,,,
T,42.590419762,-108.648231178,2221.0,7.2,35.206,92.63,,,,,
T,42.589683747,-108.648755383,2227.3,6.8,35.298,92.39,,,,,
T,42.589006405,-108.649397604,2233.6,6.9,35.390,91.87,,,,,
T,42.588386144,-108.650141582,2231.9,-1.8,35.482,92.07,,,,,
T,42.587793125,-108.650935013,2236.5,4.9,35.575,92.63,,,,,
T,42.587196669,-108.651729701,2238.7,2.3,35.668,92.98,,,,,
T,42.586420924,-108.652805602,2244.9,5.1,35.791,123.39,,,,,
T,42.586240293,-108.653089749,2246.7,5.8,35.822,30.77,,,,,
T,42.585571166,-108.654724723,2252.0,3.5,35.976,153.42,,,,,
T,42.585237650,-108.657336105,2247.1,-2.3,36.193,217.54,,,,,
T,42.584826350,-108.659498887,2257.6,5.7,36.376,183.32,,,,,
T,42.584420247,-108.660873268,2262.1,3.7,36.498,121.51,,,,,
T,42.584224194,-108.661951264,2268.7,7.2,36.589,91.13,,,,,
T,42.584238192,-108.663445171,2266.7,-1.6,36.712,122.64,,,,,
T,42.584418654,-108.664925080,2265.4,-1.1,36.835,123.13,,,,,
T,42.584553184,-108.666033335,2270.5,5.6,36.927,92.19,,,,,
T,42.584624765,-108.667150978,2273.9,3.7,37.019,92.09,,,,,
T,42.584462743,-108.668625522,2282.3,6.8,37.141,122.37,,,,,
T,42.584224278,-108.669715086,2289.5,7.7,37.235,93.28,,,,,
T,42.583895707,-108.671168173,2286.3,-2.5,37.359,124.74,,,,,
T,42.583545428,-108.672604077,2288.6,1.8,37.484,124.13,,,,,
T,42.583324816,-108.673290722,2296.0,12.2,37.545,61.46,,,,,
T,42.582909744,-108.674255060,2304.1,8.8,37.637,91.61,,,,,
T,42.582581257,-108.674850343,2303.4,-1.3,37.698,60.99,,,,,
T,42.582027381,-108.675674954,2305.7,2.6,37.789,91.48,,,,,
T,42.581644831,-108.676211480,2312.2,10.6,37.850,61.20,,,,,
T,42.581262784,-108.676746413,2317.2,8.1,37.911,61.07,,,,,
T,42.580715362,-108.677573958,2320.0,3.1,38.003,91.18,,,,,
T,42.580392491,-108.678165805,2324.2,7.1,38.063,60.39,,,,,
T,42.580107255,-108.678792436,2325.8,2.6,38.123,60.42,,,,,
T,42.579866694,-108.679453181,2330.4,7.5,38.184,60.47,,,,,
T,42.579667624,-108.680140581,2334.9,7.5,38.244,60.61,,,,,
T,42.579507530,-108.680845248,2337.3,4.0,38.305,60.52,,,,,
T,42.579361098,-108.681935901,2342.3,5.4,38.396,91.00,,,,,
T,42.579305610,-108.682675017,2345.8,5.8,38.457,60.99,,,,,
T,42.579223383,-108.683787715,2348.8,3.2,38.549,91.80,,,,,
T,42.579144845,-108.684529681,2349.1,0.6,38.610,61.53,,,,,
T,42.578907972,-108.685611701,2354.6,5.9,38.703,92.64,,,,,
T,42.578667328,-108.686292898,2356.1,2.4,38.765,61.98,,,,,
T,42.578368597,-108.686930258,2360.5,7.1,38.827,61.96,,,,,
T,42.577812625,-108.687774399,2372.2,12.6,38.920,92.83,,,,,
T,42.577218600,-108.688574284,2378.2,6.5,39.013,93.09,,,,,
T,42.576631699,-108.689377774,2379.6,1.5,39.106,92.75,,,,,
T,42.576239929,-108.689910611,2382.9,5.3,39.167,61.71,,,,,
T,42.575848577,-108.690445544,2387.5,7.5,39.229,61.80,,,,,
T,42.575459825,-108.690984836,2391.6,6.5,39.291,61.85,,,,,
T,42.575072330,-108.691527229,2395.5,6.4,39.353,61.93,,,,,
T,42.574687097,-108.692072807,2399.6,6.7,39.415,61.95,,,,,
T,42.574303709,-108.692620313,2401.9,3.6,39.477,61.92,,,,,
T,42.573918560,-108.693164885,2400.7,-1.8,39.539,61.88,,,,,
T,42.573529892,-108.693703674,2407.4,10.8,39.600,61.81,,,,,
T,42.573125716,-108.694217987,2413.2,9.5,39.662,61.64,,,,,
T,42.572690444,-108.694681423,2418.6,8.7,39.724,61.53,,,,,
T,42.572233211,-108.695101272,2421.8,5.3,39.785,61.38,,,,,
T,42.571756365,-108.695481392,2425.3,5.7,39.846,61.48,,,,,
T,42.571270801,-108.695838964,2429.4,6.5,39.908,61.41,,,,,
T,42.570779119,-108.696187315,2432.1,4.5,39.970,61.65,,,,,
T,42.570285508,-108.696531812,2434.1,3.3,40.031,61.70,,,,,
T,42.569788210,-108.696872704,2439.4,8.4,40.093,61.93,,,,,
T,42.569291079,-108.697222564,2444.7,8.6,40.155,62.25,,,,,
T,42.568796380,-108.697587009,2447.1,3.8,40.218,62.57,,,,,
T,42.568061873,-108.698169217,2450.6,3.8,40.313,94.57,,,,,
T,42.567584524,-108.698585881,2451.9,2.0,40.376,63.10,,,,,
T,42.566435533,-108.699733866,2458.1,3.9,40.534,158.67,,,,,
T,42.564760745,-108.701864043,2453.8,-1.7,40.790,255.36,,,,,
T,42.563838987,-108.703367086,2450.8,-1.9,40.950,160.37,,,,,
T,42.563338671,-108.704314074,2449.6,-1.3,41.046,95.58,,,,,
T,42.562877750,-108.705290398,2443.8,-6.1,41.141,95.13,,,,,
T,42.562453709,-108.706298741,2437.1,-7.1,41.236,95.26,,,,,
T,42.562068058,-108.707332229,2431.7,-5.7,41.331,95.07,,,,,
T,42.561730687,-108.708395557,2427.7,-4.2,41.426,95.02,,,,,
T,42.561429609,-108.709479086,2423.3,-4.5,41.521,95.06,,,,,
T,42.561137080,-108.710566973,2420.1,-3.4,41.616,95.06,,,,,
T,42.561038425,-108.710929155,2419.1,-3.2,41.648,31.70,,,,,
T,42.560587144,-108.712346954,2415.7,-2.7,41.775,126.76,,,,,
T,42.560311044,-108.713022452,2412.5,-5.1,41.838,63.39,,,,,
T,42.560005523,-108.713668780,2410.1,-3.9,41.901,63.00,,,,,
T,42.558551850,-108.715976318,2413.9,1.5,42.150,248.97,,,,,
T,42.558343560,-108.716229368,2414.8,3.2,42.181,31.10,,,,,
T,42.557706200,-108.716964628,2419.4,4.9,42.274,93.05,,,,,
T,42.557273610,-108.717438038,2422.0,4.3,42.336,61.81,,,,,
T,42.556840098,-108.717910945,2426.5,7.2,42.398,61.87,,,,,
T,42.556196451,-108.718636651,2432.4,6.4,42.491,93.08,,,,,
T,42.555782720,-108.719139732,2434.1,2.7,42.553,61.80,,,,,
T,42.555187270,-108.719938025,2439.9,6.2,42.646,93.13,,,,,
T,42.554805642,-108.720492153,2442.7,4.5,42.708,62.19,,,,,
