type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),color,width,opacity,name,desc
T,42.840933530,-108.746703893,1632.5,,0.000,,#00e634,4,1.00,ASC 2018 Stage 3,
T,42.841193195,-108.746597068,1632.0,-1.7,0.030,30.14,,,,,
T,42.841383374,-108.746347531,1631.7,-1.2,0.060,29.37,,,,,
T,42.841579693,-108.745844548,1631.4,-0.7,0.106,46.54,,,,,
T,42.841621323,-108.745633124,1631.3,-0.2,0.124,17.89,,,,,
T,42.840752660,-108.745263072,1633.0,1.7,0.225,101.13,,,,,
T,42.840290433,-108.745045683,1633.8,1.3,0.279,54.34,,,,,
T,42.839890717,-108.745013674,1634.3,1.3,0.324,44.48,,,,,
T,42.839389759,-108.745000359,1634.7,0.6,0.380,55.66,,,,,
T,42.838803672,-108.744945583,1635.4,1.1,0.445,65.26,,,,,
T,42.838214067,-108.744890184,1636.1,1.1,0.510,65.66,,,,,
T,42.837619709,-108.744909737,1636.5,0.7,0.577,66.05,,,,,
T,42.837022441,-108.744927690,1637.0,0.7,0.643,66.37,,,,,
T,42.836380287,-108.744894079,1637.5,0.8,0.714,71.39,,,,,
T,42.836033611,-108.744465049,1637.6,0.1,0.766,52.09,,,,,
T,42.835778081,-108.743886615,1637.3,-0.4,0.822,55.16,,,,,
T,42.835663849,-108.743222950,1636.9,-0.9,0.877,55.72,,,,,
T,42.835225930,-108.740853915,1635.4,-0.8,1.077,199.70,,,,,
T,42.834470561,-108.737071075,1633.8,-0.5,1.397,320.46,,,,,
T,42.832811206,-108.729463562,1631.5,-0.4,2.046,648.74,,,,,
T,42.831802159,-108.725246349,1636.5,1.4,2.409,362.57,,,,,
T,42.831382552,-108.724396022,1640.2,4.4,2.492,83.71,,,,,
T,42.831177896,-108.724071827,1641.1,2.6,2.527,34.92,,,,,
T,42.830838645,-108.723789928,1641.2,0.4,2.572,44.18,,,,,
T,42.829990732,-108.722802792,1642.5,1.0,2.696,124.04,,,,,
T,42.829185147,-108.721865779,1644.4,1.6,2.813,117.81,,,,,
T,42.829063274,-108.721721526,1644.8,2.2,2.831,17.96,,,,,
T,42.827996844,-108.720481507,1648.9,2.6,2.987,155.93,,,,,
T,42.827303996,-108.719734848,1652.7,3.9,3.086,98.24,,,,,
T,42.826861683,-108.719343748,1652.8,0.1,3.144,58.63,,,,,
T,42.826243602,-108.718876876,1657.4,5.9,3.223,78.56,,,,,
T,42.825417062,-108.718412351,1666.1,8.8,3.322,99.37,,,,,
T,42.824216774,-108.717952352,1666.2,0.0,3.461,138.54,,,,,
T,42.823695839,-108.717792844,1667.4,2.2,3.520,59.32,,,,,
T,42.821873277,-108.716852562,1667.8,0.2,3.737,216.58,,,,,
T,42.820854792,-108.715874562,1660.3,-5.4,3.875,138.56,,,,,
T,42.820024146,-108.714873427,1656.3,-3.3,3.998,123.36,,,,,
T,42.819423079,-108.714142358,1653.9,-2.6,4.088,89.63,,,,,
T,42.818589918,-108.713143403,1648.7,-4.2,4.212,123.45,,,,,
T,42.817500942,-108.711871617,1641.2,-4.7,4.371,159.54,,,,,
T,42.817118140,-108.711416479,1641.0,-0.4,4.428,56.51,,,,,
T,42.813790105,-108.707460053,1641.8,0.2,4.919,491.31,,,,,
T,42.810838921,-108.703946192,1638.9,-0.7,5.355,435.98,,,,,
T,42.809260441,-108.702074513,1633.4,-2.3,5.588,232.77,,,,,
T,42.806030475,-108.697981294,1631.5,-0.4,6.078,490.76,,,,,
T,42.805217430,-108.696585540,1629.4,-1.4,6.224,145.58,,,,,
T,42.804488791,-108.695110744,1625.1,-3.0,6.369,145.28,,,,,
T,42.804344539,-108.694815030,1625.0,-0.3,6.398,29.02,,,,,
T,42.802081006,-108.690074226,1627.6,0.6,6.860,462.19,,,,,
T,42.800584836,-108.686947441,1627.7,0.0,7.165,305.04,,,,,
T,42.800430860,-108.686629599,1628.9,3.9,7.197,31.12,,,,,
T,42.799804313,-108.685361752,1632.9,3.2,7.321,124.91,,,,,
T,42.799128229,-108.684123661,1638.1,4.1,7.448,126.09,,,,,
T,42.798949359,-108.683821745,1638.5,1.2,7.479,31.70,,,,,
T,42.797144735,-108.681331733,1635.3,-1.1,7.765,285.80,,,,,
T,42.796241082,-108.680375274,1633.8,-1.2,7.892,127.28,,,,,
T,42.795777060,-108.679918293,1631.2,-4.2,7.956,63.68,,,,,
T,42.795312116,-108.679464245,1627.5,-5.8,8.020,63.62,,,,,
T,42.794619184,-108.678789921,1623.2,-4.5,8.114,94.70,,,,,
T,42.793702790,-108.677898087,1623.6,0.3,8.240,125.25,,,,,
T,42.792097908,-108.676335868,1626.7,1.4,8.459,219.37,,,,,
T,42.790231258,-108.674579021,1626.6,-0.1,8.711,252.31,,,,,
T,42.789536566,-108.673930261,1631.9,5.7,8.805,93.66,,,,,
T,42.788846148,-108.673277311,1636.2,4.6,8.898,93.47,,,,,
T,42.788385646,-108.672837848,1639.8,5.7,8.961,62.53,,,,,
T,42.787690367,-108.672176264,1645.9,6.4,9.055,94.32,,,,,
T,42.787457183,-108.671954982,1645.6,-0.7,9.087,31.60,,,,,
T,42.786753355,-108.671288202,1646.2,0.6,9.182,95.34,,,,,
T,42.784183463,-108.668789975,1639.4,-1.9,9.533,351.12,,,,,
T,42.783261202,-108.667871738,1634.8,-3.6,9.660,127.05,,,,,
T,42.782344222,-108.666974287,1630.4,-3.5,9.786,125.58,,,,,
T,42.779121799,-108.663892178,1639.5,2.1,10.224,437.90,,,,,
T,42.778894901,-108.663671399,1640.6,3.6,10.255,31.01,,,,,
T,42.778213872,-108.663009647,1644.6,4.3,10.348,93.04,,,,,
T,42.777759070,-108.662561299,1648.2,5.9,10.410,62.44,,,,,
T,42.777298987,-108.662115047,1652.9,7.5,10.473,62.82,,,,,
T,42.776369769,-108.661224972,1659.5,5.2,10.600,126.34,,,,,
T,42.775431415,-108.660330456,1660.0,0.4,10.727,127.38,,,,,
T,42.773257233,-108.658441426,1654.1,-2.1,11.014,286.77,,,,,
T,42.772004139,-108.657489996,1648.0,-3.8,11.173,159.50,,,,,
T,42.770989509,-108.656799663,1647.2,-0.6,11.299,126.08,,,,,
T,42.769952333,-108.656170098,1641.1,-4.8,11.425,126.21,,,,,
T,42.769429469,-108.655869775,1640.9,-0.3,11.489,63.07,,,,,
T,42.765959781,-108.654248631,1640.5,-0.1,11.896,407.64,,,,,
T,42.764865104,-108.653885527,1646.9,5.1,12.021,125.18,,,,,
T,42.764048372,-108.653642535,1648.8,2.0,12.114,92.88,,,,,
T,42.763502542,-108.653499121,1653.8,8.1,12.176,61.76,,,,,
T,42.762670973,-108.653308684,1656.5,2.8,12.270,93.68,,,,,
T,42.762110224,-108.653193852,1660.2,6.0,12.333,63.00,,,,,
T,42.760407440,-108.652903419,1664.0,2.0,12.523,190.65,,,,,
T,42.758695604,-108.652630756,1659.2,-2.5,12.715,191.47,,,,,
T,42.757274620,-108.652361361,1655.2,-2.5,12.874,159.39,,,,,
T,42.756144907,-108.652151898,1652.9,-1.8,13.001,126.66,,,,,
T,42.754179435,-108.651773287,1653.2,0.2,13.221,220.53,,,,,
T,42.751389016,-108.651133161,1656.3,1.0,13.536,314.38,,,,,
T,42.749708109,-108.650738709,1658.4,1.1,13.725,189.50,,,,,
T,42.747471230,-108.650227413,1663.6,2.1,13.977,251.99,,,,,
T,42.746923724,-108.650097074,1665.5,3.1,14.039,61.75,,,,,
T,42.746376386,-108.649962964,1667.6,3.4,14.101,61.79,,,,,
T,42.745551691,-108.649767246,1676.1,9.1,14.194,93.00,,,,,
T,42.744716182,-108.649570439,1681.9,6.2,14.288,94.20,,,,,
T,42.743594348,-108.649301296,1679.1,-2.2,14.415,126.56,,,,,
T,42.742185518,-108.648968032,1687.3,5.2,14.573,158.86,,,,,
T,42.741337940,-108.648774242,1684.0,-3.4,14.669,95.48,,,,,
T,42.734878259,-108.647247814,1683.6,-0.1,15.397,728.40,,,,,
T,42.732903985,-108.646900049,1683.6,0.0,15.618,221.16,,,,,
T,42.730358904,-108.646714222,1686.7,1.1,15.902,283.14,,,,,
T,42.727803178,-108.646668876,1690.7,1.4,16.186,283.93,,,,,
T,42.723251469,-108.646458825,1695.7,1.0,16.691,505.93,,,,,
T,42.720465744,-108.645689366,1690.8,-1.5,17.007,315.81,,,,,
T,42.719356064,-108.645287789,1693.3,2.0,17.135,127.58,,,,,
T,42.718525417,-108.644990735,1689.1,-4.4,17.230,95.43,,,,,
T,42.717971625,-108.644800549,1686.6,-4.0,17.294,63.46,,,,,
T,42.717415318,-108.644615309,1684.0,-4.0,17.357,63.63,,,,,
T,42.716852892,-108.644450521,1678.0,-9.3,17.421,63.92,,,,,
T,42.716285270,-108.644303083,1675.9,-3.3,17.485,64.20,,,,,
T,42.715435764,-108.644097475,1668.0,-8.3,17.581,95.86,,,,,
T,42.711280938,-108.643141855,1680.2,2.6,18.049,468.14,,,,,
T,42.711005844,-108.643079326,1681.8,5.3,18.080,30.99,,,,,
T,42.710731505,-108.643019311,1682.8,3.1,18.111,30.87,,,,,
T,42.710455991,-108.642963739,1683.3,1.9,18.142,30.94,,,,,
T,42.709623668,-108.642802639,1689.2,6.2,18.236,93.40,,,,,
T,42.709069625,-108.642683532,1692.5,5.4,18.298,62.32,,,,,
T,42.708515748,-108.642553445,1696.3,6.0,18.360,62.44,,,,,
T,42.707959274,-108.642423022,1701.7,8.6,18.423,62.73,,,,,
T,42.707120916,-108.642231328,1707.2,5.9,18.518,94.45,,,,,
T,42.706562597,-108.642103337,1709.7,3.9,18.581,62.90,,,,,
T,42.706003105,-108.641971573,1711.7,3.1,18.644,63.08,,,,,
T,42.705443446,-108.641841318,1714.6,4.6,18.707,63.08,,,,,
T,42.704882613,-108.641711231,1715.6,1.6,18.770,63.21,,,,,
T,42.704602322,-108.641645266,1718.7,9.7,18.801,31.60,,,,,
T,42.703197934,-108.641305631,1721.1,1.5,18.960,158.47,,,,,
T,42.702084566,-108.640969349,1721.7,0.5,19.087,126.71,,,,,
T,42.701536557,-108.640766088,1722.2,0.8,19.150,63.11,,,,,
T,42.700460488,-108.640285470,1727.7,4.4,19.276,125.86,,,,,
T,42.699674182,-108.639848521,1730.3,2.7,19.370,94.40,,,,,
T,42.698893324,-108.639379051,1733.6,3.5,19.465,94.89,,,,,
T,42.698114477,-108.638907317,1736.6,3.2,19.560,94.76,,,,,
T,42.697334541,-108.638436757,1742.0,5.7,19.655,94.83,,,,,
T,42.696294934,-108.637802415,1748.1,4.8,19.781,126.64,,,,,
T,42.695774334,-108.637487171,1748.2,0.3,19.845,63.34,,,,,
T,42.694994649,-108.637017366,1751.9,3.9,19.939,94.78,,,,,
T,42.694214378,-108.636552924,1757.1,5.4,20.034,94.66,,,,,
T,42.693954874,-108.636395931,1758.3,3.8,20.066,31.57,,,,,
T,42.693179212,-108.635914223,1760.1,1.9,20.160,94.78,,,,,
T,42.691896865,-108.635071171,1764.3,2.7,20.319,158.32,,,,,
T,42.691386323,-108.634724915,1764.5,0.2,20.382,63.42,,,,,
T,42.690368844,-108.634031983,1766.2,1.3,20.509,126.49,,,,,
T,42.689355975,-108.633339889,1770.4,3.4,20.635,126.00,,,,,
T,42.689103764,-108.633164624,1772.2,5.5,20.666,31.48,,,,,
T,42.688091481,-108.632464986,1775.0,2.3,20.792,126.22,,,,,
T,42.687331578,-108.631939776,1777.4,2.5,20.887,94.76,,,,,
T,42.686571758,-108.631416326,1778.9,1.6,20.982,94.68,,,,,
T,42.685558135,-108.630718533,1782.5,2.9,21.108,126.29,,,,,
T,42.685048096,-108.630373702,1783.9,2.2,21.171,63.32,,,,,
T,42.684035227,-108.629673226,1789.4,4.4,21.298,126.32,,,,,
T,42.683280185,-108.629153548,1793.5,4.3,21.392,94.07,,,,,
T,42.682776852,-108.628806202,1796.0,4.0,21.454,62.74,,,,,
T,42.682019798,-108.628283842,1799.4,3.6,21.549,94.37,,,,,
T,42.681259559,-108.627763074,1804.3,5.2,21.643,94.63,,,,,
T,42.680510050,-108.627224620,1808.5,4.5,21.738,94.23,,,,,
T,42.680031778,-108.626866881,1810.3,3.0,21.798,60.68,,,,,
T,42.679555016,-108.626513667,1813.2,4.8,21.859,60.36,,,,,
T,42.679067692,-108.626151821,1816.3,5.0,21.920,61.73,,,,,
T,42.678574333,-108.625786370,1818.0,2.8,21.983,62.46,,,,,
T,42.677838402,-108.625215897,1823.1,5.4,22.077,94.18,,,,,
T,42.677104147,-108.624636373,1828.3,5.5,22.171,94.39,,,,,
T,42.676368384,-108.624057686,1832.2,4.1,22.266,94.50,,,,,
T,42.675113278,-108.623138443,1833.1,0.6,22.424,158.48,,,,,
