Longitude	Latitude	Elevation	Distance	CostPerKm	ElevCost	TurnCost	NodeCost	InitialCost	WayTags	NodeTags
-95.923908	41.264250	295	83	8898	0	0	0	0	highway=service surface=paved oneway=no	highway=crossing horse=no crossing=uncontrolled
-95.924419	41.263889	297	60	5160	0	0	0	0	highway=service surface=paved oneway=no	highway=crossing horse=no crossing=uncontrolled
-95.925496	41.264457	297	127	4045	0	0	0	0	highway=service surface=paved oneway=no	
-95.925897	41.264603	297	41	3377	0	0	0	0	highway=service surface=paved oneway=yes	
-95.925496	41.266333	298	198	6563	0	0	0	0	highway=residential surface=paved maxspeed=40	highway=crossing horse=no crossing=unmarked
-95.925064	41.269850	298	394	3019	0	0	0	0	highway=residential surface=paved maxspeed=40	
-95.924691	41.272675	300	331	3436	0	0	0	0	highway=residential surface=paved oneway=no	highway=crossing bicycle=yes horse=no crossing=traffic_signals
-95.924737	41.272738	299	8	21929	0	0	0	0	highway=residential surface=paved oneway=no	highway=traffic_signals
-95.920717	41.273519	296	353	1891	0	0	0	0	highway=trunk surface=paved maxspeed=60 oneway=yes	highway=traffic_signals
-95.920569	41.273540	296	13	11291	0	0	0	0	highway=trunk surface=paved maxspeed=60 oneway=yes	highway=traffic_signals
-95.917420	41.274777	298	310	1811	0	0	0	0	highway=trunk surface=paved maxspeed=60 access=yes oneway=yes	
-95.912600	41.279529	298	666	1531	0	0	0	0	highway=trunk surface=paved maxspeed=70 access=yes oneway=yes	railway=level_crossing
-95.910855	41.281286	298	244	1531	0	0	0	0	highway=trunk surface=paved maxspeed=70 access=yes oneway=yes	highway=traffic_signals
-95.907177	41.284938	295	510	1717	0	0	0	0	highway=trunk surface=paved maxspeed=70 access=yes oneway=yes	highway=traffic_signals
-95.903053	41.289308	300	602	1879	0	0	0	0	highway=trunk surface=paved maxspeed=70 access=yes oneway=yes	
-95.902479	41.290526	297	147	1780	0	0	0	0	highway=trunk surface=paved maxspeed=70 access=yes motor_vehicle=yes oneway=yes	
-95.901868	41.292143	296	188	1747	0	0	0	0	highway=trunk surface=paved maxspeed=60 access=yes motor_vehicle=yes oneway=yes	highway=traffic_signals
-95.903716	41.302302	295	1237	1747	0	0	0	0	highway=trunk surface=paved maxspeed=60 access=yes motor_vehicle=yes oneway=yes	highway=traffic_signals
-95.906179	41.304606	295	332	1819	0	0	0	0	highway=trunk surface=paved maxspeed=60 access=yes motor_vehicle=yes oneway=yes	highway=traffic_signals
-95.908302	41.306839	294	307	1844	0	0	0	0	highway=trunk surface=paved maxspeed=60 access=yes motor_vehicle=yes oneway=yes	highway=traffic_signals
-95.910585	41.309277	295	333	1813	0	0	0	0	highway=trunk surface=paved maxspeed=60 access=yes motor_vehicle=yes oneway=yes	
-95.912342	41.310362	297	193	1455	0	0	0	0	highway=trunk surface=paved access=yes motor_vehicle=yes oneway=yes	highway=traffic_signals
-95.912493	41.310431	298	15	9151	0	0	0	0	highway=trunk surface=paved access=yes motor_vehicle=yes oneway=yes	
-95.916413	41.311134	296	346	2596	0	0	0	0	highway=trunk oneway=yes	highway=traffic_signals
-95.937299	41.311434	299	1757	1141	0	0	0	0	highway=trunk oneway=yes	highway=traffic_signals
-95.937508	41.311413	298	18	10240	0	0	0	0	highway=trunk oneway=yes	highway=crossing crossing=traffic_signals
-95.938952	41.311306	297	122	3093	0	0	0	0	highway=trunk oneway=yes	
-95.953826	41.303009	316	1643	1518	0	0	0	0	highway=motorway oneway=yes	highway=traffic_signals
-95.954006	41.303001	316	16	10587	0	0	0	0	highway=motorway oneway=yes	
-95.955813	41.304487	315	224	3907	0	0	0	0	highway=trunk oneway=yes	highway=traffic_signals
-95.956522	41.306595	317	253	1959	0	0	0	0	highway=trunk oneway=yes	highway=crossing crossing=traffic_signals
-95.956519	41.306640	317	6	12378	0	0	0	0	highway=trunk oneway=yes	highway=traffic_signals
-95.956522	41.306710	317	8	12875	0	0	0	0	highway=trunk oneway=yes	highway=traffic_signals
-95.956541	41.306767	317	7	13306	0	0	0	0	highway=primary surface=paved oneway=yes	highway=crossing crossing=traffic_signals
-95.956574	41.306860	317	11	11827	0	0	0	0	highway=primary surface=paved oneway=yes	
-95.956564	41.309858	318	336	2138	0	0	0	0	highway=primary surface=paved oneway=no	highway=traffic_signals crossing=traffic_signals
-95.956559	41.312068	316	246	3678	0	0	0	0	highway=primary surface=paved oneway=no	highway=crossing crossing=traffic_signals
-95.956559	41.312128	316	7	13339	0	0	0	0	highway=primary surface=paved oneway=no	highway=traffic_signals
-95.956559	41.312192	316	8	12875	0	0	0	0	highway=primary surface=paved oneway=no	highway=crossing
-95.956559	41.314004	316	203	2376	0	0	0	0	highway=primary surface=paved oneway=no	highway=traffic_signals
-95.956550	41.315835	321	205	2153	0	0	0	0	highway=primary surface=asphalt oneway=no	highway=traffic_signals crossing=traffic_signals
