type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),color,width,opacity,name,desc
T,43.587285876,-119.054482067,1266.1,,0.000,,#6700e6,4,1.00,ASC 2018 Stage 5,
T,43.586226571,-119.054516600,1265.9,-0.2,0.118,117.73,,,,,
T,43.586236630,-119.054520959,1265.9,0.7,0.119,1.17,,,,,
T,43.586241407,-119.054528000,1265.9,0.8,0.120,0.78,,,,,
T,43.586106040,-119.054814996,1265.9,0.2,0.147,27.63,,,,,
T,43.586121043,-119.056208488,1266.1,0.2,0.260,112.55,,,,,
T,43.586121546,-119.058404798,1266.4,0.1,0.437,177.38,,,,,
T,43.585889451,-119.059957378,1267.2,0.7,0.565,128.01,,,,,
T,43.585811919,-119.061390599,1267.9,0.6,0.681,116.07,,,,,
T,43.585805632,-119.061521776,1267.9,0.1,0.692,10.62,,,,,
T,43.585621482,-119.062123513,1268.0,0.3,0.745,52.73,,,,,
T,43.584814807,-119.063301422,1268.1,0.0,0.875,130.70,,,,,
T,43.584450195,-119.063601326,1267.9,-0.3,0.923,47.20,,,,,
T,43.583216043,-119.064359721,1266.9,-0.7,1.073,150.18,,,,,
T,43.582803737,-119.064865233,1266.9,0.1,1.134,61.36,,,,,
T,43.580507431,-119.068847811,1267.4,0.1,1.545,410.56,,,,,
T,43.579236735,-119.070630390,1266.8,-0.3,1.746,201.65,,,,,
T,43.577850787,-119.071624484,1265.6,-0.7,1.920,173.66,,,,,
T,43.574668849,-119.073829092,1268.3,0.7,2.316,395.84,,,,,
T,43.574176580,-119.074128242,1268.7,0.7,2.376,59.79,,,,,
T,43.573996285,-119.074030845,1268.6,-0.4,2.397,21.52,,,,,
T,43.573923027,-119.073815681,1267.9,-3.4,2.416,19.19,,,,,
T,43.573768465,-119.073731192,1267.8,-0.9,2.435,18.48,,,,,
T,43.573676851,-119.073806796,1267.9,1.4,2.447,11.87,,,,,
T,43.573705349,-119.073916851,1268.2,2.8,2.456,9.44,,,,,
T,43.573717754,-119.073912576,1268.2,0.1,2.458,1.42,,,,,
T,43.573727477,-119.073912157,1268.2,0.6,2.459,1.08,,,,,
T,43.573747845,-119.073902518,1268.2,-0.3,2.461,2.39,,,,,
T,43.573742313,-119.073896818,1268.2,-2.5,2.462,0.77,,,,,
T,43.573736446,-119.073897656,1268.2,-0.3,2.462,0.66,,,,,
T,43.573747007,-119.073898159,1268.2,0.8,2.464,1.17,,,,,
T,43.573754802,-119.073889945,1268.2,-1.6,2.465,1.09,,,,,
T,43.573752707,-119.073886508,1268.1,-2.5,2.465,0.36,,,,,
T,43.573753377,-119.073887430,1268.1,1.9,2.465,0.11,,,,,
T,43.573752288,-119.073868738,1268.1,-3.1,2.467,1.51,,,,,
T,43.573741056,-119.073883910,1268.1,1.8,2.468,1.75,,,,,
T,43.573757401,-119.073901260,1268.2,2.2,2.471,2.29,,,,,
T,43.573744325,-119.073894639,1268.2,-1.4,2.472,1.55,,,,,
T,43.573745917,-119.073876115,1268.1,-3.0,2.474,1.51,,,,,
T,43.573750863,-119.073883072,1268.1,2.5,2.475,0.79,,,,,
T,43.573740888,-119.073874187,1268.1,-2.1,2.476,1.32,,,,,
T,43.573733848,-119.073873432,1268.1,-0.8,2.477,0.78,,,,,
T,43.573734853,-119.073871588,1268.1,-2.1,2.477,0.19,,,,,
T,43.573737200,-119.073865721,1268.1,-2.4,2.477,0.54,,,,,
T,43.573732926,-119.073826242,1268.0,-3.1,2.481,3.22,,,,,
T,43.573933002,-119.073704285,1267.7,-1.3,2.505,24.31,,,,,
T,43.574048756,-119.073902434,1268.2,2.8,2.525,20.53,,,,,
T,43.574083708,-119.074001843,1268.6,3.6,2.534,8.92,,,,,
T,43.574083541,-119.074077951,1268.6,1.3,2.541,6.15,,,,,
T,43.573893942,-119.074333012,1268.8,0.6,2.570,29.47,,,,,
T,43.572468599,-119.075388964,1270.0,0.6,2.750,179.87,,,,,
T,43.570388965,-119.076881697,1271.4,0.6,3.010,260.63,,,,,
T,43.567703236,-119.078802662,1269.2,-0.7,3.347,336.34,,,,,
T,43.565157484,-119.080613572,1267.5,-0.5,3.665,318.44,,,,,
T,43.562485585,-119.082503775,1269.4,0.6,3.999,333.83,,,,,
T,43.560980279,-119.083573138,1270.6,0.7,4.187,188.24,,,,,
T,43.559568431,-119.084358355,1270.6,0.0,4.357,169.21,,,,,
T,43.557795910,-119.084816929,1268.9,-0.9,4.557,200.39,,,,,
T,43.555602366,-119.085008539,1267.5,-0.6,4.801,244.20,,,,,
T,43.553362219,-119.085194198,1267.2,-0.1,5.050,249.34,,,,,
T,43.549342426,-119.085513465,1268.0,0.2,5.498,447.36,,,,,
T,43.548013894,-119.085279191,1267.2,-0.6,5.647,148.81,,,,,
T,43.545897296,-119.084453993,1266.8,-0.2,5.891,244.43,,,,,
T,43.543747338,-119.083570372,1266.7,-0.0,6.140,249.31,,,,,
T,43.539665435,-119.082107479,1266.9,0.0,6.609,468.67,,,,,
T,43.536576200,-119.081255291,1265.6,-0.4,6.959,350.07,,,,,
T,43.532903334,-119.080546349,1262.6,-0.7,7.371,412.07,,,,,
T,43.530809116,-119.080916243,1264.2,0.7,7.606,234.59,,,,,
T,43.528831154,-119.081930118,1266.6,1.0,7.840,234.54,,,,,
T,43.527066344,-119.083541622,1268.6,0.8,8.076,235.41,,,,,
T,43.525625076,-119.085675823,1267.1,-0.6,8.311,235.39,,,,,
T,43.524574069,-119.088204140,1268.6,0.6,8.547,235.40,,,,,
T,43.524034023,-119.090636484,1268.2,-0.2,8.752,205.59,,,,,
T,43.523854399,-119.092422836,1272.8,3.2,8.898,145.79,,,,,
T,43.523829337,-119.093507454,1275.0,2.4,8.986,87.73,,,,,
T,43.523824727,-119.095320040,1279.7,3.2,9.132,146.54,,,,,
T,43.523819614,-119.095682809,1279.8,0.4,9.162,29.33,,,,,
T,43.523769909,-119.097499838,1285.7,4.0,9.309,147.00,,,,,
T,43.523695311,-119.098954517,1286.5,0.7,9.426,117.90,,,,,
T,43.523663040,-119.099316951,1286.6,0.4,9.456,29.52,,,,,
T,43.523148391,-119.101373786,1285.9,-0.4,9.632,175.84,,,,,
T,43.523006067,-119.101680815,1285.5,-1.5,9.661,29.43,,,,,
T,43.522103839,-119.103017813,1286.9,1.0,9.809,147.42,,,,,
T,43.520326875,-119.105205322,1287.4,0.2,10.074,265.06,,,,,
