Longitude	Latitude	Elevation	Distance	CostPerKm	ElevCost	TurnCost	NodeCost	InitialCost	WayTags	NodeTags
-108745707	42841637	1633	148	4782	0	0	0	0	reversedirection=yes highway=residential	
-108744895	42839002	1638	307	2366	0	0	0	0	reversedirection=yes highway=primary	highway=traffic_signals
-108646663	42731134	1689	15427	1152	0	0	0	0	reversedirection=yes highway=primary	
-108646650	42728850	1692	255	1341	0	0	0	0	highway=primary	
-109443550	42111041	2012	106369	1146	0	0	0	0	reversedirection=yes highway=primary	highway=crossing crossing=uncontrolled
-109449081	42108610	2013	532	25205	0	0	0	0	reversedirection=yes highway=primary	
-109567179	42036740	2001	13537	1238	0	0	0	0	reversedirection=yes highway=secondary	
-109768333	41925010	1930	21348	1239	0	0	0	0	highway=secondary	
-109778420	41906849	1932	2186	1239	0	0	0	0	reversedirection=yes highway=secondary	
-110046459	41958247	2003	27043	1238	0	0	0	0	highway=secondary	
-110213202	41968194	2012	16240	1238	0	0	0	0	reversedirection=yes highway=secondary	
-110539373	41799400	2111	38637	1420	0	0	0	0	reversedirection=yes highway=primary	
-110540354	41798641	2117	118	1206	0	0	0	0	highway=primary	
-110541008	41798702	2120	66	5940	0	0	0	0	highway=primary_link oneway=yes	
-110575905	41793559	2147	3207	1492	0	0	0	0	reversedirection=yes highway=primary	
-110578848	41793299	2145	266	1473	0	0	0	0	highway=primary_link oneway=yes	
-110982646	41815588	1933	35953	1148	0	0	0	0	highway=primary	
-110946519	42078304	1889	30308	1148	0	0	0	0	highway=primary maxspeed=100	
-110949248	42088356	1893	1143	1738	0	0	0	0	highway=primary maxspeed=60	
-111069581	42213480	1848	18690	1149	0	0	0	0	highway=primary maxspeed=100	
-111069862	42213432	1848	24	1149	0	0	0	0	highway=trunk maxspeed=100	
-111109644	42212150	1936	3680	1185	0	0	0	0	highway=primary maxspeed=100	
-111116347	42220018	1893	1186	1225	0	0	0	0	highway=primary	
-111295998	42308768	1816	25268	1150	0	0	0	0	highway=primary maxspeed=100	
-111296928	42311366	1819	301	1867	0	0	0	0	highway=primary maxspeed=70	
-111297391	42312679	1819	153	1738	0	0	0	0	highway=primary maxspeed=60	
-111297780	42313953	1822	148	1741	0	0	0	0	highway=primary	
-111297818	42328582	1821	1637	2227	0	0	0	0	highway=primary maxspeed=60	highway=crossing crossing=uncontrolled
-111297801	42330315	1819	194	1761	0	0	0	0	highway=primary maxspeed=60	
-111297781	42332471	1819	242	2068	0	0	0	0	highway=primary maxspeed=70	
-111297655	42337043	1815	511	1519	0	0	0	0	highway=primary maxspeed=70 oneway=no	
-111300959	42351793	1828	1697	1193	0	0	0	0	highway=primary maxspeed=100 oneway=no	
-111320451	42386367	1842	4185	1149	0	0	0	0	highway=primary maxspeed=100	
-111324228	42394708	1843	982	1883	0	0	0	0	highway=primary maxspeed=90	
-111364881	42465752	1834	8652	1149	0	0	0	0	highway=primary maxspeed=100	
-111366172	42468919	1835	368	1519	0	0	0	0	highway=primary maxspeed=70	
-111374809	42482573	1843	1689	1904	0	0	0	0	highway=primary maxspeed=60	
-111377232	42486210	1838	454	1519	0	0	0	0	highway=primary maxspeed=70	
-111483251	42589324	1817	15076	1150	0	0	0	0	highway=primary maxspeed=100	
-111484167	42590276	1817	131	1150	0	0	0	0	highway=primary	
