Longitude	Latitude	Elevation	Distance	CostPerKm	ElevCost	TurnCost	NodeCost	InitialCost	WayTags	NodeTags
-111575694	42647586	1782	10271	1508	0	0	0	0	highway=primary maxspeed=100	
-111582146	42652216	1778	766	1519	0	0	0	0	highway=primary maxspeed=70	
-111587181	42654597	1769	512	1738	0	0	0	0	highway=primary maxspeed=60	
-111600664	42654668	1761	1107	1740	0	0	0	0	reversedirection=yes highway=primary maxspeed=60	
-111616144	42655412	1751	1287	1776	0	0	0	0	highway=primary maxspeed=60 oneway=yes	
-111624815	42657664	1751	756	1520	0	0	0	0	reversedirection=yes highway=primary maxspeed=70	
-111726102	42648957	1737	8568	1157	0	0	0	0	reversedirection=yes highway=primary maxspeed=100	
-111730247	42649025	1735	341	1151	0	0	0	0	highway=primary oneway=yes	
-111734884	42649002	1735	380	1151	0	0	0	0	highway=primary maxspeed=100 oneway=yes	
-111881328	42649870	1671	11988	1152	0	0	0	0	reversedirection=yes highway=primary maxspeed=100	
-111890359	42648879	1676	755	1152	0	0	0	0	highway=primary maxspeed=100 oneway=yes	
-111921981	42624630	1863	3906	1149	0	0	0	0	reversedirection=yes highway=primary maxspeed=100	
-112000924	42620592	1548	6975	1154	0	0	0	0	highway=primary maxspeed=100	
-112015533	42622843	1534	1289	2156	0	0	0	0	highway=primary maxspeed=70	
-112038557	42622338	1526	1958	1811	0	0	0	0	highway=primary maxspeed=90	
-112134981	42630642	1476	8401	1336	0	0	0	0	highway=primary maxspeed=100	
-112136405	42630811	1478	119	1189	0	0	0	0	reversedirection=yes highway=primary maxspeed=100	
-112193102	42660451	1451	7087	1412	0	0	0	0	highway=primary maxspeed=100	
-112194081	42660651	1448	83	1324	0	0	0	0	highway=primary maxspeed=70	
-112247186	42791451	1378	16364	7185	0	0	0	0	highway=tertiary	
-112247876	42792001	1378	85	2639	0	0	0	0	reversedirection=yes highway=tertiary	
-112254932	42794645	1379	667	2064	0	0	0	0	highway=primary	
-112254935	42798163	1392	392	3830	0	0	0	0	highway=residential	
-112362929	42797464	1368	8956	1511	0	0	0	0	reversedirection=yes highway=tertiary	
-112400979	42831990	1381	5033	2024	0	0	0	0	reversedirection=yes highway=secondary	highway=traffic_signals
-112409152	42838675	1373	1003	1928	0	0	0	0	reversedirection=yes highway=secondary	
-112418918	42845159	1375	1080	1985	0	0	0	0	highway=primary	
-112440047	42863545	1363	2690	1929	0	0	0	0	highway=primary oneway=yes	highway=traffic_signals
-112450549	42875194	1362	1606	2059	0	0	0	0	highway=primary oneway=yes	
-112450548	42876113	1361	102	2024	0	0	0	0	highway=primary	
-112451446	42878644	1364	304	1430	0	0	0	0	highway=primary oneway=yes	
-112451353	42903626	1363	2790	2073	0	0	0	0	highway=primary	
-112465567	42906680	1369	1392	1490	0	0	0	0	highway=primary oneway=yes	
-112466312	42910421	1369	434	7135	0	0	0	0	highway=primary	highway=traffic_signals
-112466326	42910868	1368	50	7129	0	0	0	0	highway=primary	
-112466343	42912011	1367	132	2417	0	0	0	0	highway=primary oneway=yes	highway=traffic_signals
-112466321	42913633	1367	187	2428	0	0	0	0	highway=primary oneway=yes	highway=traffic_signals
-112466332	42914588	1367	112	3348	0	0	0	0	highway=primary oneway=yes	
-112438696	43022290	1355	12458	1951	0	0	0	0	highway=primary	
-112358815	43177057	1369	18904	1849	0	0	0	0	reversedirection=yes highway=primary	
-112348793	43186778	1372	1365	2149	0	0	0	0	highway=primary	railway=level_crossing
-112348508	43187046	1372	38	2029	0	0	0	0	highway=primary	railway=level_crossing
-112345794	43188027	1372	269	2138	0	0	0	0	highway=primary	highway=traffic_signals
-112345014	43188703	1372	99	5417	0	0	0	0	highway=primary	highway=traffic_signals
-112354491	43192948	1371	939	2072	0	0	0	0	highway=primary oneway=yes	
-112361187	43197508	1367	808	2402	0	0	0	0	highway=primary	
-112364893	43199238	1366	358	1485	0	0	0	0	reversedirection=yes highway=primary	
-112888607	43506312	1504	54624	3161	0	0	0	0	highway=primary	
-112892284	43506567	1503	299	1963	0	0	0	0	highway=primary maxspeed=100	
-112956396	43514889	1510	5334	1155	0	0	0	0	reversedirection=yes highway=primary maxspeed=100	railway=level_crossing
-113236768	43609890	1621	25706	1271	0	0	0	0	reversedirection=yes highway=primary maxspeed=100	
-113292737	43631090	1624	5522	1393	0	0	0	0	reversedirection=yes highway=primary maxspeed=90	
-113296603	43633787	1623	435	2000	0	0	0	0	highway=primary maxspeed=60	
-113300098	43636632	1626	427	1739	0	0	0	0	highway=primary surface=asphalt maxspeed=60	highway=priority
-113300232	43636540	1626	16	9224	0	0	0	0	reversedirection=yes highway=primary surface=asphalt maxspeed=40	highway=stop
-113304163	43633953	1624	288	2575	0	0	0	0	reversedirection=yes highway=primary surface=asphalt maxspeed=40	
